algo,dim,fid,iid,run,eval,final_cost,current_cost,x1,x2
DCS,2,3,1,1,1,2.23088699134576e-14,323.3897892399,-3.020960,-3.401754
DCS,2,3,1,1,2,2.23088699134576e-14,169.0271384592,1.865613,-1.481841
DCS,2,3,1,1,3,2.23088699134576e-14,40.2828172420,2.208808,2.300388
DCS,2,3,1,1,4,2.23088699134576e-14,381.6878601091,-1.770363,-3.916523
DCS,2,3,1,1,5,2.23088699134576e-14,461.4569466753,-1.877714,-4.747511
DCS,2,3,1,1,6,2.23088699134576e-14,148.8274121914,3.436182,-0.744545
DCS,2,3,1,1,7,2.23088699134576e-14,108.6901279651,-3.727470,4.426237
DCS,2,3,1,1,8,2.23088699134576e-14,29.0238287394,0.162480,2.035492
DCS,2,3,1,1,9,2.23088699134576e-14,72.0066825113,-0.692538,0.087569
DCS,2,3,1,1,10,2.23088699134576e-14,33.8890184870,-1.745345,3.238016
DCS,2,3,1,1,11,2.23088699134576e-14,145.8108449868,0.387367,4.645412
DCS,2,3,1,1,12,2.23088699134576e-14,51.9078778684,-4.888285,1.462332
DCS,2,3,1,1,13,2.23088699134576e-14,61.2978046548,3.749309,1.885614
DCS,2,3,1,1,14,2.23088699134576e-14,307.0862945650,4.384850,-2.803400
DCS,2,3,1,1,15,2.23088699134576e-14,110.6659001780,-1.396556,-0.749755
DCS,2,3,1,1,16,2.23088699134576e-14,75.7561136414,-1.855421,0.145725
DCS,2,3,1,1,17,2.23088699134576e-14,57.6459469580,2.116641,2.521698
DCS,2,3,1,1,18,2.23088699134576e-14,87.1996280400,-4.603658,-0.198909
DCS,2,3,1,1,19,2.23088699134576e-14,197.3790588833,4.320717,-1.413302
DCS,2,3,1,1,20,2.23088699134576e-14,8.3783942814,-0.322137,1.626149
DCS,2,3,1,1,21,2.23088699134576e-14,300.8519100644,1.548823,-3.043184
DCS,2,3,1,1,22,2.23088699134576e-14,20.5174389675,-1.092127,2.011794
DCS,2,3,1,1,23,2.23088699134576e-14,378.3888894682,1.565072,-4.072587
DCS,2,3,1,1,24,2.23088699134576e-14,91.9313667114,-3.197359,-0.423757
DCS,2,3,1,1,25,2.23088699134576e-14,115.1178039163,-1.231804,-0.829728
DCS,2,3,1,1,26,2.23088699134576e-14,121.4194069558,1.831333,-0.707699
DCS,2,3,1,1,27,2.23088699134576e-14,125.5436791978,-3.725367,-0.726794
DCS,2,3,1,1,28,2.23088699134576e-14,210.9603407225,-1.922786,-1.910611
DCS,2,3,1,1,29,2.23088699134576e-14,18.1677174391,-4.676003,1.999975
DCS,2,3,1,1,30,2.23088699134576e-14,9.3228227824,-0.339588,2.245026
DCS,2,3,1,1,31,2.23088699134576e-14,31.0421644942,0.841485,1.403595
DCS,2,3,1,1,32,2.23088699134576e-14,15.1129894273,-1.331564,1.379455
DCS,2,3,1,1,33,2.23088699134576e-14,133.7193355025,-0.084990,-0.782877
DCS,2,3,1,1,34,2.23088699134576e-14,422.7082601795,4.345628,-4.139357
DCS,2,3,1,1,35,2.23088699134576e-14,290.1761802693,-1.017968,-2.988737
DCS,2,3,1,1,36,2.23088699134576e-14,84.5341399013,-1.354644,-0.571762
DCS,2,3,1,1,37,2.23088699134576e-14,51.7472002580,-2.835316,0.800653
DCS,2,3,1,1,38,2.23088699134576e-14,416.2577647441,4.480749,-4.090595
DCS,2,3,1,1,39,2.23088699134576e-14,200.4018425465,1.325958,-1.806878
DCS,2,3,1,1,40,2.23088699134576e-14,129.1172577739,4.372844,4.372844
DCS,2,3,1,1,41,2.23088699134576e-14,23.5460238783,-1.886914,1.626149
DCS,2,3,1,1,42,2.23088699134576e-14,25.5925078134,-1.839255,2.245026
DCS,2,3,1,1,43,2.23088699134576e-14,27.3085862034,-1.331564,3.189728
DCS,2,3,1,1,44,2.23088699134576e-14,101.9678371088,-4.676003,-0.424906
DCS,2,3,1,1,45,2.23088699134576e-14,92.6479996218,-1.092127,-0.198282
DCS,2,3,1,1,46,2.23088699134576e-14,6.5491093845,-2.418151,2.035492
DCS,2,3,1,1,47,2.23088699134576e-14,141.7881701063,0.841485,-1.057170
DCS,2,3,1,1,48,2.23088699134576e-14,39.6856008357,-3.731906,3.238016
DCS,2,3,1,1,49,2.23088699134576e-14,18.1657800726,0.469843,2.032837
DCS,2,3,1,1,50,2.23088699134576e-14,102.5679753189,1.082342,4.289759
DCS,2,3,1,1,51,2.23088699134576e-14,45.6913332464,-1.877467,1.462332
DCS,2,3,1,1,52,2.23088699134576e-14,62.4729574426,3.756988,2.521698
