evaluations raw_y x0 x1
1 4461232.3582962304 -3.020960 -3.401754
2 527396.9721366044 1.865613 -1.481841
3 20676889.2482278645 2.208808 2.300388
4 5295937.2094670869 -1.770363 -3.916523
5 9897227.8200902790 -1.877714 -4.747511
6 3011884.7529369993 3.436182 -0.744545
7 28240758.3598092534 -3.727470 4.426237
8 14724060.1416940242 0.162480 2.035492
9 2732891.2063962361 -0.692538 0.087569
10 21326510.8502664715 -1.745345 3.238016
11 44425275.9842640236 0.387367 4.645412
12 5528958.9172803247 -4.888285 1.462332
13 20025865.8708513677 3.749309 1.885614
14 891.6543666719 4.384850 -2.803400
15 547895.2011482890 -1.396556 -0.749755
16 2181558.6774472953 -1.855421 0.145725
17 22297641.6326101236 2.116641 2.521698
18 484780.1405213428 -4.603658 -0.198909
19 1992695.8235625434 4.320717 -1.413302
20 10667235.4724028632 -0.322137 1.626149
21 559927.3128387089 1.548823 -3.043184
22 12254245.2545774318 -1.092127 2.011794
23 3557105.0543996720 1.565072 -4.072587
24 508079.2846166769 -3.197359 -0.423757
25 516449.2376732636 -1.231804 -0.829728
26 2105219.5225671036 1.831333 -0.707699
27 117954.5613881509 -3.725367 -0.726794
28 197975.7721369100 -1.922786 -1.910611
29 8005073.0583651606 -4.676003 1.999975
30 15600781.9253986701 -0.339588 2.245026
31 10864164.7625961341 0.841485 1.403595
32 8355450.6643892741 -1.331564 1.379455
33 1223008.6103624660 -0.084990 -0.782877
34 1951534.5670793762 4.345628 -4.139357
35 1990118.2353301598 -1.017968 -2.988737
36 976634.4011231994 -1.354644 -0.571762
37 4096376.9558992377 -2.835316 0.800653
38 1683086.3015192195 4.480749 -4.090595
39 123904.9160287108 1.325958 -1.806878
40 54136832.6853365675 4.372844 4.372844
41 645.0920352586 4.363643 -2.803400
42 733242.6867946148 -1.001802 -0.726794
43 13131934.5961459335 1.325958 1.596561
44 2156543.6748692291 -1.922786 0.144576
45 30211.2236158946 -4.603658 -0.707072
46 357133.4008760210 -4.098680 -0.423757
47 7795158.2370818304 -1.231804 1.188040
48 59219.9347471562 -0.696974 -1.481841
49 296992.5210609543 -3.041688 -0.686029
50 17175520.3179221042 3.274411 1.644322
51 5351741.3306820421 4.373091 -0.571762
52 4115757.8565736902 4.488428 -0.782877
53 6162131.9317278350 -1.922421 -4.090595
54 3745836.8003664734 1.114984 -4.045867
55 476608.1231151948 1.552783 -2.988737
56 4297325.0924109621 4.320717 -0.719006
57 1910623.0676080384 4.394562 -4.138055
58 5446597.3663737029 -1.942046 -3.918186
59 287207.1019491695 2.153731 -1.816953
60 2038041.1547604569 4.621412 -1.392554
61 8386205.3232907094 -3.920219 -4.072587
62 2993506.1989654554 -3.714428 0.800653
63 242295.2822367970 -1.921801 -1.973620
64 2917156.8728379551 -1.820222 0.374155
65 14897.7104495894 0.055858 -1.768834
66 14415722.5222237352 0.161999 1.999975
67 2977996.2998169088 -1.331564 -3.232831
68 5733606.7194085494 1.561143 -4.747511
69 7691999.9586949982 2.338932 0.381998
70 2594936.1031330051 3.173090 -4.080258
71 1949314.8331604921 4.421036 -1.494103
72 3288169.2304808619 -0.394788 0.138714
73 4571385.0209017238 -0.339588 -4.017885
74 20103837.4073609374 3.794008 1.885614
75 24690344.8289088421 4.436718 2.300388
76 1956633.5202031480 1.627328 -0.880992
77 23540104.8151598461 2.807147 2.521698
78 2427846.8916451484 0.636265 -0.286881
79 7194306.4849677989 4.237760 -0.177294
80 37153656.3467185274 -0.398947 4.372844
81 8342065.7357787825 4.363643 0.141956
82 4486427.6838042159 0.055858 -4.076422
83 1262615.0691181710 -4.801829 -1.953150
84 114217.9685538524 -0.696974 -1.390870
85 2038046.0812121041 1.548331 -0.726794
86 285275.2447206830 -2.984533 -1.806878
87 97916.2145365155 1.567697 -1.910611
88 146933.5477615266 2.337035 -1.973620
89 46856640.2857260555 2.153731 4.406139
90 3828766.2169158780 -3.041688 0.803614
91 261293.5819616358 -4.098680 -1.530281
92 147556.8351054209 2.340923 -1.973373
93 3063987.5788440593 2.425813 -4.077113
94 2681363.1635605246 3.332042 -4.142679
95 2972920.7026258530 -1.820612 0.386116
96 3699.3367081362 -0.674878 -1.671096
97 1492204.5293548412 4.740374 -4.090595
98 10040156.4418335445 -2.797620 -4.569027
99 526292.6927120562 1.914503 -1.494103
100 1992838.3528739829 4.345628 -1.418446
101 22447066.7941092364 4.334762 2.059504
102 1805687.3401977583 4.320717 -4.091587
103 292266.3403059368 2.167017 -1.816995
104 3027888.5807562340 -1.855421 0.405020
105 4907112.7504890021 2.735554 -4.785503
106 9983140.0738688987 3.173090 0.758459
107 8225960.1030876283 3.137309 0.374155
108 819257.8009909182 1.834218 -3.232831
109 997596.3677886751 -3.714428 -2.099674
110 6782393.3617161186 2.302606 0.138714
