evaluations raw_y x0 x1
1 673951.1043673217 -3.020960 -3.401754
2 6663755.9635740751 1.865613 -1.481841
3 39057982.8988953531 2.208808 2.300388
4 947893.9004940570 -1.770363 -3.916523
5 3547332.0463829949 -1.877714 -4.747511
6 12569307.8830686808 3.436182 -0.744545
7 43065312.3940897882 -3.727470 4.426237
8 27151386.8983233981 0.162480 2.035492
9 9474709.9174204748 -0.692538 0.087569
10 34379504.0554266348 -1.745345 3.238016
11 64191655.2975427955 0.387367 4.645412
12 9721130.5779665504 -4.888285 1.462332
13 40207716.6943160072 3.749309 1.885614
14 3549785.1945240418 4.384850 -2.803400
15 4978252.1438753335 -1.396556 -0.749755
16 8215303.0559735643 -1.855421 0.145725
17 42144759.0712297112 2.116641 2.521698
18 2475298.3766463492 -4.603658 -0.198909
19 9923067.5991953220 4.320717 -1.413302
20 22198160.7833191082 -0.322137 1.626149
21 599871.1128349404 1.548823 -3.043184
22 23343954.5660439134 -1.092127 2.011794
23 16576.3064001854 1.565072 -4.072587
24 3444440.9857982891 -3.197359 -0.423757
25 4796437.2401323924 -1.231804 -0.829728
26 9489708.4527096339 1.831333 -0.707699
27 2046801.2131827765 -3.725367 -0.726794
28 659488.0351267381 -1.922786 -1.910611
29 14021894.0967513733 -4.676003 1.999975
30 27672001.8632673621 -0.339588 2.245026
31 23371702.0994538739 0.841485 1.403595
32 17704261.7875173464 -1.331564 1.379455
33 7005018.4063695427 -0.084990 -0.782877
34 474560.7531858016 4.345628 -4.139357
35 15955.6044299662 -1.017968 -2.988737
36 6130517.6122493707 -1.354644 -0.571762
37 9655803.2988212854 -2.835316 0.800653
38 504587.1134775101 4.480749 -4.090595
39 3720976.6528327721 1.325958 -1.806878
40 71724116.3934437186 4.372844 4.372844
41 2631643.8790857797 4.363643 -2.988737
42 898151.9529625159 -1.215638 -4.072587
43 69270976.5132943988 4.345628 4.040472
44 9817869.9015840832 4.480749 -1.482990
45 9734373.3089636955 1.548823 -0.571136
46 2321331.0591421290 0.630664 -1.910611
47 515992.2064482972 -3.020960 -1.687594
48 226883.5388557613 -0.089425 -3.916523
49 1973505.5486870941 3.110793 -3.022141
50 5924699.5553734470 0.198171 -1.100198
51 17713168.7523283921 4.373091 -0.423757
52 7121.3584966603 4.392529 -4.747511
53 3729433.5918020271 4.481113 -2.803400
54 8940442.4918347392 -1.142627 0.114289
55 1435309.0453019121 -4.599698 -0.829728
56 5996235.7121478366 -1.396556 -0.583070
57 3822756.3482745010 1.374892 -1.805576
58 17759362.1791871786 -1.567193 1.460669
59 4277.2242530994 2.457505 -4.149432
60 5703608.4569433043 -1.095862 -0.729006
61 14021184.4168740790 1.370220 0.087569
62 2062757.8892591812 -3.714428 -0.707699
63 487841.1474559719 4.481733 -4.153603
64 7550813.9989573117 1.900812 -1.253410
65 8350801.6249940200 -0.339641 -0.293659
66 6175127.5464259544 -0.781909 -0.744545
67 1356207.5096921516 -4.676003 -3.137397
68 29259355.9790291153 2.858353 1.379455
69 14061031.1402751282 1.040379 0.196661
70 6414169.6949937120 1.736053 -1.494103
71 4238860.9628095413 1.560254 -1.798203
72 2499360.1669041510 -2.550287 -0.840667
73 981369.2974561087 -0.339588 -4.381704
74 61874193.4956542179 4.102745 3.238016
75 24133016.5310564712 -1.706482 2.300388
76 2227008.8890007678 -0.625346 -1.557193
77 19531730.1380279139 -4.227337 2.521698
78 17010737.9285856038 3.672844 -0.286881
79 7760675.3135705832 -1.288927 -0.177294
80 58809449.9927224144 -0.313578 4.372844
81 8111462.5346331233 2.457505 -1.250169
82 19717519.8846995495 4.392529 -0.181128
83 2672865.7588748252 -3.008984 -4.070125
84 4212020.8566921894 1.565072 -1.803892
85 3625432.6505239573 -4.600190 -3.916523
86 33762.5361401228 1.605978 -4.139357
87 503270.4253205684 -0.324674 -4.153603
88 242356.6830406282 3.670948 -4.090595
89 46426820.4143882692 -3.020960 4.406139
90 6190133.2399701355 1.548823 -1.478880
91 1726499.2839104792 -1.922786 -4.121028
92 244638.9179779337 3.674835 -4.090348
93 8656521.5757453218 -0.428186 -0.181820
94 5630963.2819808433 -0.936910 -0.791427
95 6237271.5799521236 -0.782299 -0.732584
96 90696.9410958564 1.587168 -4.261842
97 6779057.7337664235 2.187327 -1.557193
98 84.7610733910 -2.712251 -2.599455
99 3325390.8664863119 -1.947483 -0.840667
100 389835.2983745998 -3.197359 -1.831469
101 9885037.9234039132 -3.641884 1.098300
102 5315917.2561470894 1.325958 -1.558185
103 518043.2509485958 -3.007674 -1.687636
104 62784721.7265763879 1.560254 4.129246
105 198574.1351270283 4.330807 -4.331243
106 103084.6597013855 -1.095862 -3.431467
107 9754627.9670131486 2.109045 -0.744545
108 2061616.8888186228 -1.232699 -1.494103
109 570503.4079801468 1.865613 -3.165403
110 2098932.4981591892 -1.863058 -1.253410
111 790990.6649418426 3.703750 -3.634978
112 16730073.4135972671 3.588399 -0.293659
113 15851487.7699452881 2.054299 0.087569
114 9690772.1267438419 -0.904663 0.196661
115 4473813.5839816732 -4.509655 -4.253701
116 1621105.9563710450 -1.331564 -1.810272
117 5452518.1465783017 0.386331 -1.239151
118 36335939.8000820130 1.646759 2.300388
119 45857528.2159855068 0.563515 3.238016
120 15093822.4371233582 0.492373 0.492373
121 7156798.0687246108 -2.712251 0.088606
122 2326250.1073809122 -0.449712 -1.566869
123 13159.4967364158 3.733729 -4.747511
124 5354360.0885597123 0.339708 -1.240141
125 8387311.4939768147 1.565072 -0.885601
126 11602566.2339116167 1.605978 -0.293787
127 8635681.4234411642 1.587168 -0.824675
128 1826330.1611343443 -1.095862 -1.806599
129 495105.8235775891 4.330807 -4.080653
130 42437280.4050457105 -0.089425 3.237322
131 60393948.5034587383 3.670948 3.242741
132 297915.1369188931 -0.522746 -3.885952
133 1534770.4790708497 -3.197359 -3.660267
134 4282905.4741047351 -4.620858 -4.153603
135 2045756.7160475152 -0.692659 -1.687594
136 831379.8915491392 -4.003837 -1.183174
137 694.7866652891 1.894396 -4.073805
138 2179321.8451410327 -1.867714 -1.191348
139 1077376.9423529124 1.532611 -2.862033
140 15331703.3619786631 0.420478 0.543121
141 24113540.0877300464 -4.676003 3.237312
142 2101058.2346628769 3.704648 -3.012407
143 6194893.3300789800 2.599442 -1.810272
144 14445.2314511733 2.446039 -4.096741
145 454578.0789754330 -1.232699 -2.401494
146 1482572.5943495363 0.468043 -2.419791
147 374771.1985116077 -4.094139 -1.557193
148 1653751.6200007689 -2.550287 -3.900813
149 290025.4401298721 -0.307575 -2.803400
150 72581.6427939075 -4.303310 -1.806878
151 1935305.3434620188 1.560254 -2.575260
152 7036790.7085098382 -4.509655 0.624833
153 58054.2454823627 0.386331 -3.822668
154 2253771.8192376122 -3.151980 -0.744545
155 480300.3695769853 -0.339641 -2.646829
156 193867.0183915556 -3.388669 -2.826074
157 10389181.0258535128 -0.517712 0.196661
158 9055881.5485510677 -2.253814 0.492373
159 17763371.8494187891 -4.220612 2.300388
160 46814983.9017768204 2.639364 2.639364
161 521500.7232253000 -3.009085 -1.680746
162 1442105.3972470541 -1.552802 -1.791592
163 3187368.3487592968 -3.334998 -4.149432
164 542135.5339282574 4.392529 -3.992491
165 2145456.1250601686 2.446039 -2.578225
166 598115.8099141178 -1.017968 -3.994369
167 47648088.9337511361 1.565072 3.029699
168 1964815.2640769598 -4.111245 -0.749583
169 512354.7211573587 3.703656 -3.822668
170 1845172.0262659600 -4.303310 -3.403439
171 334261.5707950289 4.382688 -4.261842
172 43.7884913953 4.478664 -4.860036
173 518.1465734072 -1.890473 -2.826074
174 43652242.1343888491 4.330807 1.913163
175 399579.0123845792 -0.089425 -4.143228
176 2048293.5470606280 -2.322502 -4.090595
177 2126.0795981022 1.910731 -4.096787
178 12.1708291882 2.440909 -4.219611
179 8385.3750566512 4.147809 -4.860327
180 824892.4473983180 -3.197359 -3.415734
181 3293777.8046944197 -1.232699 -4.854389
182 1821806.3922174948 1.553702 -2.646829
183 90100.3384738404 1.585557 -4.260417
184 1440021.3390973255 3.705661 -3.455323
185 2032364.5091074582 -0.763916 -1.687636
186 3665.3414596060 -4.972556 -1.810644
187 199729.2534083730 -1.922786 -2.352343
188 48409848.9100327492 -0.648125 3.776143
189 2222.8477730310 -0.830436 -3.137397
190 12567275.7368013766 3.704688 -0.829728
191 249509.8162041035 -4.929168 -2.419791
192 2148938.7976465621 -1.331564 -1.380948
193 66046.6938656932 2.282253 -3.900813
194 1317413.0259098650 -1.719873 -1.771323
195 102712.5223515215 -0.343070 -3.011907
196 661911.6891191022 -0.307841 -4.253701
197 1901558.4589649439 0.457568 -2.253814
198 2981598.6926798550 -0.650675 -4.923061
199 7789747.7881724611 2.447970 -1.349806
200 8231677.0620927131 -0.331377 -0.331377
201 1845912.8153233482 -1.723512 -4.219611
202 42158.4607937559 3.799354 -4.860036
203 1092619.2492982135 -2.712251 -3.671416
204 3564960.8704895535 -1.890473 -4.750269
205 533615.7437551257 4.615858 -4.073805
206 13459.3448609256 2.418849 -4.096787
207 24854761.4530681148 2.530903 1.043285
208 2008971.1822247421 -4.972556 -0.402829
209 1703709.6088971649 -1.347200 -1.777830
210 18415180.0318036936 4.392529 -0.344035
211 88260.9879711636 2.396530 -3.901585
212 7818181.4873822611 2.446039 -1.339991
213 112427.4005873239 -0.167695 -3.049242
214 502089.6426342639 4.395498 -4.072587
215 4507777.8737377515 1.605978 -1.771322
216 187912.9934778970 2.693166 -3.822668
217 524505.3778564313 -0.083643 -2.600888
218 8053329.4623796046 4.160232 -1.806878
219 115187.6780389418 3.679920 -4.260417
220 35599.1326617112 1.587168 -4.139451
221 2159601.7033800678 -0.343070 -1.686260
222 55380.6861340018 0.385276 -3.816137
223 1894526.6463541593 0.476239 -2.264626
224 313333.7096094982 -0.089425 -4.044442
225 356099.3971492229 -2.654442 -3.286418
226 3358578.3781902930 -4.929168 -3.709895
227 7212409.4760389570 3.407517 -1.831469
228 154404.3459685950 1.921724 -4.453653
229 737.7779288703 -1.704796 -2.881540
230 2039489.7844952932 4.511569 -3.343797
231 2093580.5836981519 4.729810 -3.343818
232 230714.1909244734 -0.952303 -2.636074
233 4941712.5706985025 3.703750 -2.368521
234 117038.0272388282 1.835353 -4.377763
235 1694528.7781503082 0.200151 -4.782934
236 415957.5466916520 1.834218 -3.405136
237 413963.3998505311 1.013354 -4.505512
238 527018.2113721630 2.174663 -3.311170
239 113690.2229431549 -1.953502 -3.174903
240 471022.4993316574 -0.331377 -2.665689
241 19798.2312583235 2.928530 -4.219611
242 554799.3078155699 1.801045 -4.860036
243 34514.6076875638 -2.712251 -2.396561
244 1243006.0878774889 1.554763 -2.826074
245 25093.0741999786 2.516420 -4.073805
246 273261.2449174189 -0.091380 -2.881540
247 5287.9417174260 1.910731 -4.135460
248 455885.4988521213 0.762101 -4.461857
249 241767.8541297811 -1.915946 -2.323919
250 5919.0005696627 2.487094 -4.149432
251 519236.8056663311 4.392529 -4.025945
252 642781.2428767028 1.641892 -4.860327
253 686941.8807674266 -3.018561 -1.550786
254 49816.1780126864 -2.186594 -2.988737
255 516135.8066747554 -3.016227 -1.688791
256 432160.6495626809 -0.463984 -2.665681
257 180395.4118045162 3.671781 -4.139451
258 517304.5666989267 3.717303 -3.816137
259 218878.0736441249 -0.349119 -3.822668
260 269422.6812952959 -0.342631 -3.900813
261 19941.7158762835 2.524817 -4.091420
262 358525.6370741448 1.585557 -4.630209
263 236745.2707431650 -2.996007 -3.011907
264 4575.6572550061 -4.902154 -1.819414
