evaluations raw_y x0 x1
1 12519437926.7436599731 -3.020960 -3.401754
2 1610960431.4300236702 1.865613 -1.481841
3 5791057.5144890724 2.208808 2.300388
4 20918583441.8319206238 -1.770363 -3.916523
5 46229533061.5949249268 -1.877714 -4.747511
6 670925617.9906667471 3.436182 -0.744545
7 201719.5406754914 -3.727470 4.426237
8 9839001.8391555827 0.162480 2.035492
9 224827340.4159376323 -0.692538 0.087569
10 437339.2608649613 -1.745345 3.238016
11 419705.8331692827 0.387367 4.645412
12 27387736.8298998103 -4.888285 1.462332
13 13433428.1748900786 3.749309 1.885614
14 6911295060.6071949005 4.384850 -2.803400
15 664684541.2111110687 -1.396556 -0.749755
16 206726592.7061528563 -1.855421 0.145725
17 3532167.8675685558 2.116641 2.521698
18 325388665.9352879524 -4.603658 -0.198909
19 1499025243.8750040531 4.320717 -1.413302
20 21083779.4324314855 -0.322137 1.626149
21 8795362760.2067031860 1.548823 -3.043184
22 10225823.5329654459 -1.092127 2.011794
23 24544018701.7002716064 1.565072 -4.072587
24 438045585.1362713575 -3.197359 -0.423757
25 733999550.7275477648 -1.231804 -0.829728
26 637602111.8259714842 1.831333 -0.707699
27 641104908.3985215425 -3.725367 -0.726794
28 2592253976.7376213074 -1.922786 -1.910611
29 10227474.4842437077 -4.676003 1.999975
30 6394347.4914729111 -0.339588 2.245026
31 31174872.9689179324 0.841485 1.403595
32 32113130.7867671140 -1.331564 1.379455
33 695438610.6504421234 -0.084990 -0.782877
34 26355617824.9154167175 4.345628 -4.139357
35 8259740477.7282142639 -1.017968 -2.988737
36 532147916.2821785808 -1.354644 -0.571762
37 80184301.6672380567 -2.835316 0.800653
38 25152820364.2404861450 4.480749 -4.090595
39 2329563316.7180147171 1.325958 -1.806878
40 126390.0999897031 4.372844 4.372844
41 149447.5842985181 -1.886914 4.372844
42 191088.1074886755 -1.315398 4.426237
43 22.6241222187 0.387367 4.002139
44 224299751.9248299897 -1.745345 0.086420
45 209653076.3903229237 2.116641 0.146351
46 5575713.9423031416 -2.890508 2.300388
47 926595439.3190721273 -0.339588 -1.018837
48 9537665.7505954076 -4.608094 2.035492
49 3407670.4795141672 3.678612 2.542741
50 1071247150.6731377840 0.161999 -1.138531
51 12982631.3863539230 -1.877467 1.885614
52 20560817.4979108796 -4.880606 1.626149
53 27839818.8999623209 -1.744980 1.462332
54 513699692.4394745231 -1.804733 -0.545042
55 31574111.1987928040 -4.672043 1.379455
56 209190471.0650475919 -2.835316 0.134417
57 31114194.6345757693 0.890419 1.404897
58 665681109.2128753662 -1.568239 -0.751417
59 19.8554036143 0.198171 3.992064
60 77802713.7234874666 -2.534622 0.821401
61 531870478.7917780876 -1.510251 -0.571762
62 643199204.1799918413 4.493791 -0.707699
63 547306.3353557017 -1.744360 3.175007
64 163921422.8144999743 -0.657339 0.316000
65 15241.0289111421 -2.198887 3.805739
66 702393031.5091102123 2.974262 -0.782877
67 13941.1796408842 -1.231804 3.819033
68 1471891176.4714639187 -1.733489 -1.413302
69 126480271.5667959750 3.432807 0.509598
70 22640103.2062281296 3.162979 1.596561
71 24572294.3312213458 1.538607 1.544695
72 3546465.6655279086 0.848588 2.515373
73 58963680.0575222522 -1.017968 1.005631
74 8731369517.5845565796 -1.249286 -3.043184
75 12647850737.5754966736 0.989520 -3.401754
76 119856497.4668626338 1.614818 0.541739
77 24687655875.7727699280 3.961538 -4.072587
78 134266633.8041817844 -1.348587 0.454703
79 140776289.6649959683 1.791604 0.430322
80 46603544024.2981643677 1.561143 -4.747511
81 139244034.6355041265 0.198171 0.433563
82 165475314.2161639929 0.387367 0.312166
83 498639.2737049946 -3.115902 3.195477
84 31881973.0331137143 -2.198887 1.381139
85 160100.8603679667 -4.608585 4.372844
86 176238.2670461723 2.173796 4.426237
87 429172.5757451337 -2.875594 3.238016
88 561303.7275658376 -0.086886 3.175007
89 45401179360.1522140503 3.678612 -4.714216
90 135558422.3737089336 2.116641 0.457664
91 29650.1966465802 0.848588 3.757298
92 546871.9058454559 -1.740473 3.175253
93 165518036.9237293601 0.203402 0.311474
94 88146196.7732982785 -2.676364 0.738232
95 117794666.9961766303 1.614429 0.553699
96 73741.5637358499 -2.176791 3.616484
97 21128026.8121142201 0.059697 1.626149
98 2035012770.2348952293 -4.276386 -1.701719
99 24549328.2347082198 1.362934 1.544695
100 32944648.9185797051 -4.888285 1.353562
101 505708.5334063328 -0.663833 3.202448
102 21256177.2373025529 0.841485 1.625157
103 3408390.0638189521 3.691897 2.542699
104 270289.1411268573 -1.017968 4.510474
105 1306526.2018689858 1.913868 2.910700
106 4158700.9138440541 -2.835316 2.432921
107 118257616.0322142839 -1.692591 0.541739
108 124349864.5216042697 -0.783597 0.509598
109 1275.1320640235 -1.348587 3.938478
110 139464600.6298820078 -0.569127 0.430322
111 293960.2145931977 2.346460 3.360374
112 227178537.5646174252 2.107801 0.087569
113 536151204.9956955314 0.882922 -0.571762
114 628711354.4269812107 -2.439918 -0.707699
115 8485275.1837145519 -0.160585 2.108561
116 15447576.7627219576 -1.733489 1.793349
117 61645924.3484731913 -0.579418 0.978408
118 12748070477.3162593842 4.093437 -3.401754
119 24321362263.6849021912 -2.175707 -4.072587
120 128134344.0453884155 0.492373 0.492373
121 225254621.7244375348 0.198171 0.088606
122 21644076.1407978274 1.017118 1.615481
123 2646.3068305335 2.409242 3.938478
124 124504340.8433375359 -0.830221 0.508609
125 9363610.5196122173 -2.198887 2.052688
126 140276886.6791512072 0.848588 0.430193
127 8285464.9322646288 -2.176791 2.113614
128 63858485.5176124871 4.372844 0.970012
129 21913.9311955767 2.173796 3.797673
130 24406444152.7788276672 -1.017968 -4.073281
131 24478617456.8672485352 2.346460 -4.067862
132 305385.9179034145 -1.451289 4.541044
133 4479915.1486085011 -0.663833 2.407631
134 523057.9019486815 -4.620858 3.175253
135 556163.5644248263 -0.692659 3.175007
136 419342.5318349492 -1.808818 3.249135
137 15808.3989457451 -1.869564 3.804521
138 18390316.8601276316 -4.885262 1.688211
139 283969989.8958557844 -0.607060 -0.085422
140 589991856.3912472725 -2.511812 -0.656950
141 24447058113.7245788574 -0.339588 -4.073291
142 800005.8982825748 -2.834419 3.055492
143 9862446.7350096088 0.529304 2.035492
144 3288.1953049096 0.375900 4.054830
145 3766922.1754832505 -1.733489 2.480059
146 2373818.7044397146 4.760836 2.696405
147 21580841.2913300321 3.612594 1.625157
148 199749.5187765970 3.162979 4.458272
149 24096620.2778288946 -2.125274 1.544695
150 28754489.0610821992 4.498905 1.462332
151 954290.3034357408 -0.579418 4.969643
152 1840450.7505663782 -1.692591 2.770869
153 1937562.0936806554 -0.783597 2.754799
154 126851839.4227792919 -2.009679 0.492373
155 2151143.9927859320 -0.569127 2.715161
156 25586.7345298306 -1.527507 3.759819
157 536630816.3054665327 1.150022 -0.571762
158 634581170.2913376093 0.385864 -0.707699
159 12697830610.8114242554 2.540283 -3.401754
160 2679913.2720772624 2.639364 2.639364
161 2113465.4348787479 -0.570538 2.722051
162 23807.2684748013 -0.642306 3.772584
163 3008.1732908647 3.216650 3.938478
164 17771939.6841482520 0.375900 1.723542
165 21126572.9255429804 -1.231804 1.622192
166 547889078.1293250322 -2.198887 -0.597131
167 15464374689.5918865204 -1.869564 -3.610070
168 24185054.9841180593 -3.084538 1.539656
169 33392.2330346272 3.691803 3.759819
170 26964.0424336438 0.848588 3.767951
171 76801.0507640608 -0.966087 3.616484
172 24030.4748067406 -0.643573 3.771603
173 201934.0852822119 2.671676 4.458272
174 584694.9373206212 -1.017968 4.755237
175 2209.7434400205 2.346460 3.944682
176 308840.9850031370 -2.078368 4.541044
177 13417.3619736905 -1.767112 3.818986
178 44204.5951045489 -1.236934 3.696162
179 23654.8818418287 -0.974428 3.771312
180 810897060.4072273970 -1.744360 -0.912497
181 19995.8178163352 -2.834419 3.777250
182 940610.1719309174 0.834933 4.969643
183 73079.2772347010 -2.178403 3.617909
184 2201257.0209097955 3.693809 2.722354
185 2129051.2319671703 -1.626510 2.715161
186 72466.3692827347 -0.119582 4.264237
187 13074766.8935511447 2.639364 1.896388
188 79063814.7387606055 -0.654051 0.816168
189 3427249.4102705317 -1.441679 2.521698
190 3875496.4180815620 1.707177 2.480059
191 4293187.9414144289 1.124020 2.432921
192 2549902.2333863718 -0.339588 2.648447
193 9841139.6113626342 0.195953 2.035492
194 322914.6531467352 -2.817078 3.312579
195 23301.4167577790 0.560565 4.151062
196 28628450.5401708111 3.647498 1.462332
197 1966913.9509197020 -1.524029 2.746186
198 6991637.8895411799 3.112457 2.214119
199 7939379.3108438076 1.280041 2.146151
200 392717008.3640884161 -0.331377 -0.331377
201 26.3561324690 -1.737128 3.992064
202 174.3319021145 -1.346075 4.002139
203 2370.4540880787 -1.348587 3.919203
204 27506.5169973443 2.346460 3.774492
205 3204.4331843799 0.524561 4.054830
206 10514.0751526085 -4.917405 3.818986
207 6029.0295783829 -4.805352 3.855424
208 427888148.5049251318 -2.198887 -0.402829
209 6533059.2200840870 3.096821 2.246561
210 395757274.1303251386 -2.834419 -0.344035
211 44677.6107306079 -1.122657 3.695390
212 27705819.4018490128 0.560565 1.472148
213 5487255.1307247784 -1.454564 2.312749
214 21191.8504678510 -2.831449 3.771603
215 3773361.5596314878 -1.527507 2.480059
216 30017.1870504426 2.924294 3.767951
217 418022.7764163733 -2.811296 4.628214
218 66437.2221795531 2.186220 4.264237
219 74863.2487654291 -1.465510 3.617909
220 24716.4305687962 -2.176791 3.759725
221 2683683.5252866866 3.162979 2.640740
222 25390.8688616976 0.847532 3.774481
223 8117012.4918100564 1.298712 2.135339
224 456916.0646615829 -2.817078 3.221160
225 245359.6544263438 3.858999 3.411345
226 26214265.8032698818 0.834933 1.505185
227 1946069.5379364425 -0.347716 2.754799
228 26928.0212909203 1.998735 4.169640
229 63857.0201390839 -0.698048 4.244866
230 593019.1737019315 0.704623 4.769220
231 14637.0437115570 -0.438770 3.819682
232 24074.6701793053 -0.654051 3.771349
233 25459.8291072588 -1.441679 3.760849
234 925076.1684593316 1.053856 4.962689
235 23312.2545683373 3.961274 3.801891
236 15877.1255922219 -2.653482 4.108440
237 94057.8664500065 -2.748377 3.573075
238 145765.8715900315 2.363013 3.517746
239 494593.4588541563 4.330032 3.231166
240 5280747.0129481163 -0.331377 2.334311
241 25.6143070575 -1.722765 3.992064
242 431.1162690954 -2.850250 4.002139
243 242620.8224146692 -1.348587 4.481502
244 2768.1261359779 3.673230 3.944682
245 5320.5548160402 -2.761068 4.054830
246 7845.8816964569 -2.180357 3.855424
247 12521.1321081524 -4.917405 3.805787
248 6090067.7027279735 -3.889194 2.255857
249 81877.1116490819 2.193059 4.292660
250 14838.0985309436 -2.790394 3.804521
251 3980.8505533871 -2.653482 3.889828
252 18704.3002376914 -3.917209 3.777250
253 148213.7881054313 1.042969 4.385801
254 21756.4851188081 2.050339 3.797673
255 591142.1648133412 0.709356 4.768024
256 493542.7774169483 4.197426 3.231174
257 28323.4575503058 2.363846 3.771312
258 23919.1441769951 -0.770044 3.771349
259 30752.4514661585 1.992686 3.759725
260 27010.2291654784 1.999174 3.774481
261 10268.7065993295 -4.303319 3.824353
262 21826.4768056007 -1.527507 3.776287
263 33167.1729832523 -1.632343 4.169640
264 16918.1328353580 -2.128485 3.796968
265 84055.1017166711 2.353838 4.297239
266 31424.6124973987 4.372795 4.194558
267 8452.5970101998 -2.886695 4.073205
268 856387.4063104903 2.362199 4.932790
269 259815.1692515595 1.125811 4.510951
270 128578.7656389716 -2.446525 3.517746
271 43377.8320376415 -4.164144 3.682262
272 95350.2402266219 -0.570501 4.301590
273 2321466.9837308121 0.622695 2.689658
274 44526.3692343668 -0.546369 4.203933
275 437851.3968034854 -3.186519 3.231166
276 624961.3358412818 -3.413474 4.769220
277 770172.2134824217 -2.639714 3.068276
278 1523515.3032794693 -2.022400 2.839782
279 33973.1898392105 1.997107 4.189856
280 14379.0759149424 3.847037 3.847037
281 32785.3413642292 1.993653 4.186587
282 27748.9933112415 0.387367 3.762092
283 59776.4297299612 -1.348587 3.653229
284 664.1986313103 -2.740658 3.944682
285 4946.3420915847 -2.237719 4.054830
286 511480.8731328361 -4.803267 4.686939
287 2044189.8961527932 -4.805352 2.718789
288 4541.2872369323 2.061824 4.073205
289 260185.1217656363 -2.762128 4.491992
290 2910.4739961531 -4.917405 3.889591
291 11606.3027593428 0.983035 3.847037
292 12375.5699112468 -2.733772 3.819682
293 18531.8700897164 0.562417 3.804521
294 25570.8674727501 -2.198887 4.144611
295 765495.5665014029 -2.128485 3.072361
296 2737.1916687550 -4.458605 4.025672
297 25428.2797993494 0.382150 3.771603
298 944.5371788512 2.050339 4.036415
299 20408.9317113193 -2.660710 3.776287
300 123.9948377785 0.560565 3.985498
301 819096.2251170441 0.834583 4.904829
302 20813.0174244444 -0.974428 3.784255
303 155128.6988689450 -0.770044 4.385675
304 3867.8644486986 -2.462042 3.892332
305 47548.2977990997 -2.597182 3.678779
306 293679.3639313513 -1.500633 3.342348
307 18322.8348076388 -4.405903 4.109055
308 39765.2705681014 -1.596561 4.187112
309 754328.3702796126 2.333620 4.875756
310 50343.2098299540 1.923923 3.696162
311 558822.8658491563 -2.640154 3.165021
312 871908.2180430274 1.568638 4.937197
313 777730.1205284210 4.601809 4.900386
314 99932.4428014109 -2.045606 4.301590
315 798324.2604466856 1.685339 4.897506
316 287845.1556680368 1.790782 4.541044
317 270835.5189329837 -3.186519 4.500217
318 953764.3379923946 -2.601641 2.999774
319 803967.7340788821 0.547298 3.068276
320 743219.1937445250 0.834933 3.094263
321 91669.0054812643 0.198171 3.593129
322 10.1363202918 0.761777 4.002139
323 27254.4891905700 -2.683449 3.746304
324 46252.4041274120 -2.740658 3.681708
325 118842.0428105947 2.050339 4.350549
326 72123.2485658687 -2.104812 3.620390
327 1943.2262713718 -2.817321 4.025672
328 2897.6064654120 -4.946685 3.889591
329 61422.7987471866 0.524561 3.659476
330 2861.5227736744 -2.462042 4.036868
331 744.3348842728 -2.653482 3.942979
332 4722.4552428141 1.791499 4.073205
333 8526.6911983918 -4.805352 3.834195
334 5062.3671038188 -0.778161 4.062917
335 12603.1723469565 2.050779 3.847037
336 12625.2177793846 -2.469842 3.819682
337 749268.8626187217 -2.790394 3.076225
338 1542.1287788127 -1.311018 3.933428
339 66885.7683200657 -4.391765 3.619745
340 1577.5240190253 -1.310729 3.932765
341 20868.7701175403 -2.288541 3.776287
342 133680.2403381874 -0.974428 3.517790
