evaluations raw_y x0 x1
1 866.3004021652 -3.020960 -3.401754
2 236.7680232589 1.865613 -1.481841
3 49.7419320077 2.208808 2.300388
4 502.9132726992 -1.770363 -3.916523
5 467.5957552966 -1.877714 -4.747511
6 582.0193517284 3.436182 -0.744545
7 1884.9916794440 -3.727470 4.426237
8 521.9824278165 0.162480 2.035492
9 563.4290179430 -0.692538 0.087569
10 1176.8429880416 -1.745345 3.238016
11 737.3821297163 0.387367 4.645412
12 1858.8949766535 -4.888285 1.462332
13 459.0229525911 3.749309 1.885614
14 1018.0087980100 4.384850 -2.803400
15 673.1165307025 -1.396556 -0.749755
16 880.8097941596 -1.855421 0.145725
17 42.5458434729 2.116641 2.521698
18 1595.2195315558 -4.603658 -0.198909
19 871.1300416820 4.320717 -1.413302
20 612.5083218197 -0.322137 1.626149
21 286.3371418692 1.548823 -3.043184
22 862.0085152711 -1.092127 2.011794
23 383.8021724165 1.565072 -4.072587
24 1187.4570062049 -3.197359 -0.423757
25 622.1681274066 -1.231804 -0.829728
26 166.7148856031 1.831333 -0.707699
27 1300.3931406455 -3.725367 -0.726794
28 707.7643876689 -1.922786 -1.910611
29 1861.4487412923 -4.676003 1.999975
30 680.0230484255 -0.339588 2.245026
31 277.6369935177 0.841485 1.403595
32 862.1581403731 -1.331564 1.379455
33 324.5213843158 -0.084990 -0.782877
34 1141.3391010480 4.345628 -4.139357
35 383.1635108871 -1.017968 -2.988737
36 678.3821546631 -1.354644 -0.571762
37 1213.9735051195 -2.835316 0.800653
38 1173.2967952670 4.480749 -4.090595
39 124.1027626471 1.325958 -1.806878
40 448.9403778973 4.372844 4.372844
41 1656.1430249370 -3.736671 2.521698
42 544.2799658670 0.178645 2.300388
43 166.4412997005 1.325958 1.596561
44 34.6049957232 1.831333 1.625000
45 178.2514654476 1.865613 -0.743918
46 1640.7853269324 -4.137082 1.403595
47 120.2064428783 1.548823 1.737501
48 627.5995166248 -1.236240 -0.782877
49 577.9915531147 3.427584 -0.722875
50 404.0668658665 3.282536 1.023802
51 1878.1819539698 -3.727223 4.372844
52 1062.8716384318 -1.870035 1.885614
53 519.5609942773 1.831697 -4.747511
54 800.8204258553 -1.804733 -0.545042
55 142.9059974106 1.569032 2.035492
56 486.4389456920 -0.692538 -0.755852
57 490.5495962112 -1.721429 -3.915221
58 785.3479416780 0.215684 4.643749
59 269.0348028544 1.884098 -1.816953
60 409.1701169440 -0.391843 -0.735104
61 202.7566885125 2.013956 -0.571762
62 1947.2019462437 -4.875243 2.245026
63 28.5581224981 1.832317 1.561992
64 625.8711581252 -0.286938 1.854580
65 378.7572487675 1.953936 -2.884150
66 184.5000698555 2.507707 1.379455
67 1521.3401190959 -3.020960 3.103951
68 336.9526262077 -0.339641 -1.413302
69 1326.2624911683 -1.982786 3.952122
70 835.3177213724 -0.307575 3.781546
71 373.9380172824 0.139229 0.430322
72 482.3549705656 -0.259626 0.454703
73 872.9645742943 -1.745345 0.368311
74 425.8803543075 2.931980 -0.423757
75 271.1847830406 2.690221 0.800653
76 224.6196716163 0.637317 0.236986
77 301.4619706938 0.198171 -0.198909
78 431.7179112094 0.055858 0.811883
79 446.6638217378 0.161999 1.267076
80 643.3775306054 0.636265 4.426237
81 170.4350371741 1.832317 -0.752611
82 440.4149705895 1.831333 -3.919055
