evaluations raw_y x0 x1
1 4.3944086503 -3.020960 -3.401754
2 2.7143845667 1.865613 -1.481841
3 18.3396098822 2.208808 2.300388
4 12.9751350041 -1.770363 -3.916523
5 30.3760720173 -1.877714 -4.747511
6 4.2974297343 3.436182 -0.744545
7 240.6678161757 -3.727470 4.426237
8 24.3576866467 0.162480 2.035492
9 1.9729312948 -0.692538 0.087569
10 94.5242904048 -1.745345 3.238016
11 153.7048537991 0.387367 4.645412
12 49.2367839922 -4.888285 1.462332
13 7.9677853006 3.749309 1.885614
14 24.2965678687 4.384850 -2.803400
15 0.4429018570 -1.396556 -0.749755
16 4.1316402621 -1.855421 0.145725
17 23.5800764524 2.116641 2.521698
18 8.4976106275 -4.603658 -0.198909
19 6.0828506367 4.320717 -1.413302
20 18.1843408617 -0.322137 1.626149
21 13.4178783249 1.548823 -3.043184
22 32.8033282246 -1.092127 2.011794
23 38.1847167655 1.565072 -4.072587
24 3.4142599373 -3.197359 -0.423757
25 0.2677523191 -1.231804 -0.829728
26 2.7497582880 1.831333 -0.707699
27 3.2549652838 -3.725367 -0.726794
28 1.1893147750 -1.922786 -1.910611
29 70.3042276401 -4.676003 1.999975
30 33.7099065472 -0.339588 2.245026
31 9.6638210615 0.841485 1.403595
32 18.6777915314 -1.331564 1.379455
33 0.8804860742 -0.084990 -0.782877
34 71.9900004173 4.345628 -4.139357
35 4.4927060469 -1.017968 -2.988737
36 0.5496159338 -1.354644 -0.571762
37 15.4509747603 -2.835316 0.800653
38 71.3919598050 4.480749 -4.090595
39 2.4168521417 1.325958 -1.806878
40 66.8360350886 4.372844 4.372844
41 3.0597811153 -3.736671 -0.829728
42 0.1340940192 -1.001802 -0.749755
43 41.5983325746 -1.354644 2.214119
44 1.1550171116 -0.084990 -0.200058
45 35.8343700597 -1.922786 1.886241
46 1.9696225566 -0.688876 0.087569
47 5.5772501232 1.325958 1.105162
48 1.6173357572 0.837050 -1.481841
49 0.5405512209 -0.360815 -1.889568
50 24.4483516474 0.637317 2.166045
51 4.4418069026 -3.727223 -0.423757
52 4.5292803421 3.443861 0.145725
53 0.8910005487 -0.084626 -0.744545
54 11.1105331365 1.098734 -3.016464
55 3.3111007999 -3.721407 -2.988737
56 7.3761853481 4.320717 1.874307
57 4.4311357296 -2.972026 -3.400452
58 19.1904211986 2.037125 2.298725
