evaluations raw_y x0 x1
1 2200.7071928981 -3.020960 -3.401754
2 139.2079018951 1.865613 -1.481841
3 75.7290192263 2.208808 2.300388
4 2432.6018305973 -1.770363 -3.916523
5 4390.5443933322 -1.877714 -4.747511
6 85.6666549041 3.436182 -0.744545
7 30.6448539523 -3.727470 4.426237
8 50.4252511353 0.162480 2.035492
9 61.1799014179 -0.692538 0.087569
10 26.4742156232 -1.745345 3.238016
11 130.4224020264 0.387367 4.645412
12 97.5344186938 -4.888285 1.462332
13 135.5663571556 3.749309 1.885614
14 222.3128483783 4.384850 -2.803400
15 158.0465062539 -1.396556 -0.749755
16 89.1863094546 -1.855421 0.145725
17 102.6209314704 2.116641 2.521698
18 289.4389326148 -4.603658 -0.198909
19 92.3251861109 4.320717 -1.413302
20 38.8805300685 -0.322137 1.626149
21 566.0199208183 1.548823 -3.043184
22 27.0160527559 -1.092127 2.011794
23 1166.8476090102 1.565072 -4.072587
24 231.2855099233 -3.197359 -0.423757
25 155.9563207133 -1.231804 -0.829728
26 84.0786087548 1.831333 -0.707699
27 363.2422103554 -3.725367 -0.726794
28 569.4941621315 -1.922786 -1.910611
29 53.2391609608 -4.676003 1.999975
30 24.4009756080 -0.339588 2.245026
31 58.5083168153 0.841485 1.403595
32 21.5216784403 -1.331564 1.379455
33 112.5506491782 -0.084990 -0.782877
34 653.3583816298 4.345628 -4.139357
35 967.2065212254 -1.017968 -2.988737
36 141.7518050671 -1.354644 -0.571762
37 82.8864100310 -2.835316 0.800653
38 604.8851524229 4.480749 -4.090595
39 205.5074668157 1.325958 -1.806878
40 343.1541105052 4.372844 4.372844
41 52.1234514495 -1.886914 1.379455
42 31.8386951815 -1.839255 2.245026
43 44.7108575891 -1.745345 2.978139
44 43.0140190052 -1.092127 2.520549
45 48.5620124159 -3.727470 1.462959
46 21.6349537334 -1.479560 1.626149
47 150.4035882379 0.162480 -1.024047
48 26.1475068189 -0.089425 1.999975
49 72.6481914773 -2.165500 4.447280
50 213.7235488231 2.153731 -2.162531
51 24.8534732699 -1.877467 2.300388
52 52.1163942525 1.839012 0.800653
53 152.8553854422 -1.091763 -0.707699
54 121.5509947640 3.299220 1.912334
55 63.0619725155 -0.688578 0.145725
56 147.8740861623 4.320717 1.451025
57 96.1188521640 3.485116 -0.743243
58 179.8318677680 -1.403487 -0.831391
59 141.9228613487 2.457505 3.227940
60 99.1557571326 4.621412 -1.392554
61 30.9202266774 -0.534440 1.885614
62 543.5011420512 -3.007918 -1.481841
63 17.5989755298 -1.091143 1.948785
64 99.1024540835 2.151840 2.750129
65 13.6509099007 -2.106992 3.213445
66 362.8814863266 -0.512683 -1.806878
67 151.4773350926 4.384850 1.098300
68 77.4252869703 4.136333 -0.423757
69 615.4668761751 4.789610 -4.171497
70 280.5858603491 -3.904619 -0.313578
71 175.2732002037 3.920334 2.259168
72 42.2305390001 -1.725589 1.076052
73 33.9973124232 -1.922786 3.007762
74 3383.3852422587 -2.621318 -4.090595
75 2058.4685370665 -0.327186 -4.139357
76 46.4071808956 1.353513 1.005631
77 3825.4266297303 -3.296706 -4.072587
78 91.3129293813 3.127674 0.799123
79 108.5324121984 -2.908636 0.541739
80 4828.9873246154 -2.518029 -4.747511
81 236.6409488978 -2.106992 -0.779636
82 311.6006657398 -1.091143 -1.485675
83 35.0733257852 -3.165782 3.258485
84 51.1548864155 -1.479560 0.800807
85 84.5552421957 1.353021 2.245026
86 46.0342052717 -3.670315 2.300388
87 24.9110671909 -1.907872 1.999975
88 20.3733293096 -3.906515 3.238016
89 3748.5170193237 -1.092127 -4.714216
90 147.6628737723 -3.727470 0.544699
91 46.4079883947 -0.534440 1.577709
92 20.5864832625 -3.902628 3.238262
93 110.3506919128 2.726354 -1.486367
94 115.6943732279 2.310792 2.687708
95 93.6537415467 4.621022 -1.380593
96 39.8975120944 -1.457464 1.436895
97 102.9618287550 2.920742 1.403595
98 1412.2195773183 -4.276386 -2.456215
99 31.4213382489 1.362934 0.145725
100 139.6817316010 4.136333 0.773230
101 127.1604610610 3.415666 2.146151
102 131.4121130252 3.436182 1.402603
103 26.4362633640 -1.078842 2.011752
104 161.0557735589 4.320717 1.793349
105 55.7818434277 -1.228597 3.997283
106 64.7110843573 2.151840 0.385911
107 207.6888305774 -0.189294 -1.392554
108 19.0946638640 -1.441679 2.521698
109 28.5454012052 -2.908636 1.443117
110 94.5854327960 0.441828 -0.782877
111 29.1867535505 -1.567193 3.436430
112 34.8738663806 -0.307575 1.098300
113 14.4456463807 -0.539833 2.259168
114 410.1243373024 -1.017991 -1.806878
115 231.4548127687 4.575295 2.667626
116 40.7482373773 -4.603658 2.666862
117 39.9298034800 -0.259626 0.454703
118 2058.4685370665 -0.327186 -4.139357
119 2158.9746870457 -0.768105 -4.072587
120 53.8121383008 0.492373 0.492373
121 406.2487465775 -2.106992 -1.391517
122 74.0342294350 -1.052964 3.987608
123 24.3088772862 -1.845090 1.948785
124 79.4235047315 3.389558 -0.745534
125 32.2383579817 -3.906515 2.610989
126 402.4009254767 -3.902628 -0.783006
127 16.6301694568 -1.331564 2.671915
128 123.9322987849 -1.479560 -0.432153
129 50.4125772697 -0.339588 3.229950
130 2852.0252802624 -1.877467 -4.073281
131 2855.9786561262 -1.907872 -4.067862
132 5.3741228656 -2.310788 2.330959
133 22.9546465910 -1.092127 1.411605
134 39.8905656716 0.693092 1.443117
135 280.5599082609 4.621291 3.436430
136 46.0311036334 -4.233035 1.825737
137 37.2649494157 -3.577192 3.236798
138 53.9993244131 0.487716 0.554435
139 116.3286528208 4.108691 -1.487587
140 227.2793089943 4.503400 2.718374
141 1915.9715262955 -0.259626 -4.073291
142 36.7858239528 -1.456566 2.059466
143 50.6758213606 -0.397896 1.076052
144 20.4524346419 -0.551300 2.311859
145 24.7679940983 0.162480 0.569197
146 16.2946166394 -2.127433 1.723503
147 73.1586002570 -1.067295 3.997283
148 73.4703118134 0.841485 2.822907
149 50.9645096638 0.767057 0.087569
150 47.2934929727 -0.098163 0.385911
151 265.9252652880 4.136333 3.859930
152 60.7919328217 1.831333 2.146151
153 250.1596453370 3.436182 4.059872
154 490.8250810083 -2.896207 -1.413302
155 51.2444567017 0.441828 2.108561
156 34.8277930564 -2.299012 1.803723
157 697.9754472752 -3.016268 -1.806878
158 62.5214164359 -0.212353 2.667626
159 2058.4685370665 -0.327186 -4.139357
160 129.0934248710 2.639364 2.639364
161 38.3822073351 -1.458875 1.443785
162 32.1005112824 -3.553496 3.253548
163 31.6305044118 -0.285917 2.259168
164 159.0098036850 -2.127433 -0.483335
165 14.8954926229 -1.331564 2.664661
166 309.6116692096 -1.091143 -1.525607
167 3155.9342293511 -1.441679 -4.347673
168 81.7096688081 3.177069 -0.428796
169 29.0366225597 -0.098257 2.311859
170 70.4423152870 -3.902628 1.436623
171 32.2141196402 0.214360 1.626149
172 19.9548340060 -1.100156 1.230533
173 24.4984719997 -1.693276 2.245026
174 60.8747600113 0.162480 2.784599
175 30.1569075063 -1.877467 2.265372
