evaluations raw_y x0 x1
1 250.0652780596 -3.020960 -3.401754
2 41.0745843100 1.865613 -1.481841
3 97.1863584707 2.208808 2.300388
4 171.2322699762 -1.770363 -3.916523
5 172.4490499694 -1.877714 -4.747511
6 284.5745467520 3.436182 -0.744545
7 237.0652760489 -3.727470 4.426237
8 33.5354268793 0.162480 2.035492
9 83.6422133539 -0.692538 0.087569
10 89.2143292986 -1.745345 3.238016
11 73.7057538718 0.387367 4.645412
12 78.7019450970 -4.888285 1.462332
13 13.6482927605 3.749309 1.885614
14 84.5429086960 4.384850 -2.803400
15 140.3153660761 -1.396556 -0.749755
16 57.2759088602 -1.855421 0.145725
17 68.9740524433 2.116641 2.521698
18 48.3795952542 -4.603658 -0.198909
19 103.3199986512 4.320717 -1.413302
20 102.2696242261 -0.322137 1.626149
21 34.5453890676 1.548823 -3.043184
22 71.5360380286 -1.092127 2.011794
23 24.1150298758 1.565072 -4.072587
24 122.6774643321 -3.197359 -0.423757
25 231.7268441492 -1.231804 -0.829728
26 51.3188061340 1.831333 -0.707699
27 219.8337417753 -3.725367 -0.726794
28 88.1281826183 -1.922786 -1.910611
29 131.6795506695 -4.676003 1.999975
30 175.9639320903 -0.339588 2.245026
31 95.0853733031 0.841485 1.403595
32 158.9319379332 -1.331564 1.379455
33 291.8480996822 -0.084990 -0.782877
34 10.2909842746 4.345628 -4.139357
35 96.7691146822 -1.017968 -2.988737
36 85.2545767737 -1.354644 -0.571762
37 84.9246333194 -2.835316 0.800653
38 29.7187464484 4.480749 -4.090595
39 41.7560025681 1.325958 -1.806878
40 37.7303225538 4.372844 4.372844
41 19.6078581714 -0.094190 -4.139357
42 15.2106975803 0.403533 1.885614
43 59.2492419780 1.565072 0.463706
44 76.9469887145 4.480749 -2.804549
45 45.3886242391 0.162480 0.088196
46 229.4620649856 -3.127654 -3.043184
47 55.8252643052 4.372844 2.026095
48 157.1095275655 -2.839752 -1.481841
49 26.3907132965 1.724450 2.056535
50 67.4222389324 0.198171 1.270496
51 182.7710873191 -0.084743 -0.707699
52 37.6594521020 2.124320 0.145725
53 152.5484515649 4.481113 2.521698
54 115.0046085318 -2.372874 -1.883891
55 361.0098041288 -4.599698 4.645412
56 54.1413717971 -4.888285 0.076262
57 66.8481421200 -1.043193 2.013096
58 93.0378663693 -1.189651 -2.990400
59 21.5986721601 1.082342 -4.082663
60 80.4661875987 -4.587590 0.097010
61 89.1739913284 3.554457 -1.910611
62 156.0406304635 -3.007918 3.238016
63 19.8577311514 4.481733 -4.153603
64 165.0962370659 4.420048 -2.574969
65 62.5827862681 -0.592623 -1.349806
66 28.3018923134 2.134423 1.626149
67 113.2753754368 4.320717 -3.789495
68 53.5475426878 0.901320 -0.423757
69 107.9256272716 0.161999 -1.500012
70 6.3118229701 1.801722 -0.284569
71 9.5956806541 1.834218 -1.810272
72 99.3148404852 3.492150 -1.845522
73 185.5790731081 -1.877714 -0.781010
74 71.1168427003 3.481388 2.245026
75 84.7488668713 0.637317 -0.726794
76 19.5497962702 1.884098 -2.914864
77 45.3911424480 0.636265 4.426237
78 139.4899885196 0.989520 -4.503066
79 14.8921389818 1.894285 -2.872272
80 114.8665622001 2.457505 -0.782877
81 12.4513480955 1.801722 -2.800159
82 63.5419383793 1.834218 -0.730628
83 111.1036674893 -0.327186 -4.062193
84 77.5034605777 3.749309 -1.348122
85 18.3751934103 1.548331 -2.872272
86 23.2003347396 1.781605 -2.914864
87 19.7810271429 4.495663 -4.153603
88 47.2330183687 3.490254 -4.082663
89 36.2454807489 1.565072 -4.714216
90 24.0281401125 1.724450 0.099971
91 4.2108198028 2.134423 1.837174
92 23.0614489033 1.086229 -4.082416
93 54.4059714948 1.498057 -0.731320
94 95.0108498595 3.640340 2.182605
95 60.0323105538 -1.092517 2.023754
96 88.5021623769 3.771405 1.696360
97 189.7420408336 3.432807 -1.481841
98 54.8191697398 -4.276386 -0.286881
99 2.3022666812 0.787382 -0.198909
100 11.5446291461 1.831333 -1.375699
101 75.8320761789 0.747451 2.288121
102 69.1650001100 -4.888285 -1.482833
103 24.4650056031 1.578358 -4.072629
104 50.1917775364 -1.043193 2.512294
105 171.0535776340 -1.889854 -2.862180
106 28.2528407525 3.481388 -3.120097
107 42.3263638607 1.953936 2.011794
108 124.0705646272 2.693683 4.645412
109 82.8177333695 -4.587590 -0.171557
110 139.4253393105 -1.607223 -2.803400
111 107.6943681324 1.057622 -3.832885
112 20.1623754885 1.538607 -1.910611
113 88.6264196565 3.271703 3.238016
114 13.4849259616 2.286994 -2.988737
115 62.5081933745 -0.772358 0.195966
116 108.7084385295 4.320717 1.276749
117 84.6880358848 3.789913 0.625760
118 123.6721625160 2.543335 -0.782877
119 97.3207758012 2.601156 -4.503066
120 84.5717717290 0.492373 0.492373
121 87.5839172648 0.787382 -0.725757
122 41.9024333373 1.076953 -0.433433
123 73.9863690325 4.558444 -0.284569
124 75.2874752256 4.338226 -2.804390
125 24.9178188266 4.345628 4.316971
126 19.7431814564 1.831333 0.625631
127 39.1422534884 2.286994 4.377897
128 87.5649977037 3.749309 4.637016
129 0.6786106729 1.894285 -4.147422
130 82.0391613576 1.884098 -0.783571
131 189.7207690868 4.495663 -0.778152
132 26.7531509674 1.450777 -2.884294
133 28.2891420900 1.082342 -3.068474
134 214.9723899551 -3.291003 -4.082416
135 35.5978407983 0.637196 0.099971
136 138.7986511966 -3.762980 2.762929
137 15.7187558480 4.674951 -4.140574
138 85.9292124001 -1.047850 2.574356
139 129.9910288571 0.359724 3.581582
140 63.0929606267 2.529262 -4.452317
141 105.9650833771 2.124320 -0.783581
142 31.8519595169 1.549721 -2.420613
143 80.7751218243 2.276360 -1.481841
144 5.6842701408 2.122956 1.889865
145 15.2395668630 0.636265 -0.286881
146 217.8554608475 3.377692 -0.757562
147 67.9849597476 -0.854866 -0.423757
148 61.2685157148 -4.888285 1.601400
149 98.3450826876 3.180030 0.195966
150 29.8375932103 0.986654 2.521698
151 126.5931809058 0.387367 -4.999752
152 46.6491919589 -4.587590 1.714243
153 57.1960718009 4.384850 2.227536
154 227.7391496022 3.160261 0.492373
155 190.2120568759 3.789913 -4.562225
156 55.1916221929 1.831645 -1.688925
157 77.7553530303 -2.014312 3.238016
158 154.7545146886 1.332500 -4.503066
159 100.6670744125 -1.470621 -1.413302
160 64.9515732246 2.639364 2.639364
161 43.7071931936 2.122909 0.152615
162 14.9502597429 2.258415 1.900900
163 4.0914700971 1.937769 1.837174
164 86.3975995606 2.122956 3.499225
165 50.7940159175 1.801722 2.636399
166 25.7859616334 1.834218 -3.405136
167 189.2911357799 4.345628 -1.621618
168 178.6303285603 -0.571898 4.640373
169 90.2746647178 -1.043288 -2.988737
170 93.0435864279 3.749309 1.602986
171 72.5644882066 4.547543 -0.286881
172 14.6315137707 1.890058 -4.852104
173 116.7590202139 -4.555278 -2.914864
174 44.4554202704 4.495663 4.626802
