evaluations raw_y x0 x1
1 3769.8675875617 -3.020960 -3.401754
2 162.6718764536 1.865613 -1.481841
3 212.4103946383 2.208808 2.300388
4 766.4571150266 -1.770363 -3.916523
5 972.5385375897 -1.877714 -4.747511
6 33.1304654609 3.436182 -0.744545
7 4142.4662809876 -3.727470 4.426237
8 1218.6974421249 0.162480 2.035492
9 1663.7720377914 -0.692538 0.087569
10 4669.3585876577 -1.745345 3.238016
11 1234.1482821424 0.387367 4.645412
12 18804.0732349602 -4.888285 1.462332
13 1.6132272403 3.749309 1.885614
14 23.4565076780 4.384850 -2.803400
15 2020.3039869971 -1.396556 -0.749755
16 2809.7320490174 -1.855421 0.145725
17 146.5894838125 2.116641 2.521698
18 16302.4117078185 -4.603658 -0.198909
19 20.6850694645 4.320717 -1.413302
20 875.1377366269 -0.322137 1.626149
21 339.5331088088 1.548823 -3.043184
22 2585.1194086048 -1.092127 2.011794
23 196.3272880827 1.565072 -4.072587
24 4363.1383533148 -3.197359 -0.423757
25 2671.8981292033 -1.231804 -0.829728
26 163.7787529284 1.831333 -0.707699
27 2729.4736859883 -3.725367 -0.726794
28 3671.6673798625 -1.922786 -1.910611
29 18315.4452190109 -4.676003 1.999975
30 1383.9611135526 -0.339588 2.245026
31 739.7660806416 0.841485 1.403595
32 1101.8587845377 -1.331564 1.379455
33 967.1856898349 -0.084990 -0.782877
34 77.2488412180 4.345628 -4.139357
35 2016.3958713388 -1.017968 -2.988737
36 2888.8884274845 -1.354644 -0.571762
37 6903.7624757222 -2.835316 0.800653
38 23.8633748341 4.480749 -4.090595
39 361.2662774691 1.325958 -1.806878
40 49.7563641124 4.372844 4.372844
41 7514.7962310801 -4.897485 1.885614
42 644.5330188951 0.857651 -1.413302
43 54.7361700703 4.384850 4.035262
44 18.4673130238 4.480749 -0.784026
45 11.8911095226 3.436182 1.626776
46 5117.9990648438 -4.202074 4.372844
47 39.7537745329 4.345628 -3.263030
48 1538.7799002821 -1.882149 2.521698
49 133.5194543502 4.998152 1.647819
50 121.1619552428 3.415666 -1.105408
51 3862.2207411584 -4.888038 -4.072587
52 397.7889053155 1.556502 2.300388
53 31.7962485576 4.481113 -3.043184
54 715.4400972099 -0.287609 2.062212
55 17.8849938822 3.419626 1.403595
56 2775.3541122682 -1.770363 1.614842
57 443.3503047579 1.374892 -1.805576
58 2195.9537047552 -0.864221 0.085906
59 413.4389815786 1.561143 -2.813475
60 657.9432506962 -1.469668 -3.895775
61 14.6773758049 4.125865 2.035492
62 21980.7838629763 -4.590616 4.645412
63 21.9917793565 4.481733 -0.847035
64 1239.5518427555 -0.049791 -0.554447
65 285.8856108944 1.991016 1.005631
66 16.9074468090 4.851382 -0.749755
67 1966.3084037217 -1.092127 0.789840
68 1555.1600033730 -0.358841 -0.829728
69 8.6317666201 3.435272 2.136603
70 425.2399841949 1.572290 2.572862
71 298.6944734307 1.822678 0.925596
72 132.2842779321 1.346066 1.544695
73 2030.4983296783 -3.020960 0.799123
74 1047.4003764594 0.636265 4.426237
75 630.3439161852 0.901320 -0.423757
76 399.6560297123 1.627328 -3.557079
77 579.3939230055 1.082342 0.800653
78 281.6043448310 0.198171 -0.459019
79 351.2362351427 0.161999 2.636765
80 338.0055340510 0.055858 1.462332
81 17.9739215282 3.749309 0.803894
82 99.3254287812 3.435272 -0.427591
83 493.1511764399 -0.781909 -1.392832
84 8.1472114427 4.125865 1.464016
85 29.6932577575 3.415175 -0.749755
86 23.2026464611 4.442005 1.403595
87 14.2010400172 4.360541 -0.784026
88 378.2583728927 0.634368 -1.413302
89 47.8996619335 4.481733 0.832419
90 6.7368677988 4.384850 -1.802615
91 73.1135114406 4.481113 1.415576
92 22.4496394017 4.324604 -1.413055
93 124.5028465057 1.762061 -0.428283
94 180.2762529940 1.786280 -3.619500
95 413.5376697041 1.560753 -2.801515
96 16.3485580002 4.147961 1.274762
97 2.9608143091 3.558321 2.521698
98 1199.0432374752 -1.717464 -4.536294
99 2552.7856636800 -1.294266 2.300388
100 309.2994267091 0.198171 1.436440
101 1007.9937920812 0.535662 3.002816
102 307.6693091048 1.822678 2.520706
103 15.2844605061 4.495019 -0.847077
104 758.1691139345 0.161999 0.527130
105 115.3419733181 1.630189 2.565706
106 112.9988118090 1.627328 0.721460
107 122.9840047572 2.869148 -2.813475
108 15.5699137622 3.099055 2.572862
109 131.1614095615 1.374892 2.376014
110 16.9335629034 4.546810 0.800653
111 1.4359032192 3.718439 2.409310
112 101.7837980513 1.765166 -3.895775
113 412.4564317143 1.614818 -3.916523
114 66.9963177651 3.093521 -0.782877
115 153.0743257231 2.818132 -2.604701
116 704.0560546470 0.387367 -3.398554
117 101.3434050595 2.475104 3.564020
118 130.7404594684 2.320580 -0.829728
119 166.3434195936 1.953936 0.789840
120 919.4732182314 0.492373 0.492373
121 25.9739527153 3.718439 0.926633
122 195.3333903581 2.496213 -0.839404
123 18.0817772242 4.210742 2.521698
124 62.5726623505 2.162184 2.299399
125 64.5036822455 4.125865 -3.951648
126 24.0895061410 3.435272 1.005503
127 184.2240932015 3.436182 -3.890722
128 31.3719272476 4.360541 0.781444
129 44.3612293630 4.495019 1.455951
130 30.1744988204 3.099055 0.491679
131 3.8558262800 4.147961 0.497098
132 119.3092044763 2.665734 2.603433
133 13.3804932159 4.546810 -0.808167
134 4644.2637583099 -2.105642 1.403595
135 88.3603072928 1.822558 -1.413302
136 1016.8412871320 0.447384 2.076482
137 62.4398057773 4.455188 1.462799
138 147.3762969915 2.864491 -2.751413
139 115.0521909295 1.926294 -0.273990
140 162.9013026473 1.542924 -3.865775
141 186.3907927962 2.475104 0.491669
142 34.8986655186 3.094418 -0.160307
143 17.9970879293 3.891246 0.721460
144 1.6012241162 3.737842 1.938306
145 2.8883363018 3.415666 3.519927
146 357.4721129314 1.523628 1.093262
147 11.4450431270 4.378848 -0.829728
148 466.4907252396 1.374892 -0.558319
149 98.1252687280 4.702724 1.544695
150 212.5020688128 2.866398 -2.604701
151 217.5824747097 1.953936 4.409854
152 301.3292711382 1.565072 0.463706
153 213.7478948606 2.208808 2.319660
154 14.1450911840 4.202837 -0.459019
155 206.0284691335 1.991016 1.983117
156 24.7061256856 4.910450 -1.124957
157 70.0952541053 2.580999 2.636765
158 25.3455714089 4.894847 -3.916523
159 158.2600447666 2.693683 -3.398554
160 91.0726945423 2.639364 2.639364
