evaluations raw_y x0 x1
1 9.3296627154 -3.020960 -3.401754
2 21.5663806138 1.865613 -1.481841
3 3.5345595537 2.208808 2.300388
4 19.4229271245 -1.770363 -3.916523
5 25.3114248089 -1.877714 -4.747511
6 15.4599414548 3.436182 -0.744545
7 305.9619448835 -3.727470 4.426237
8 0.4334831820 0.162480 2.035492
9 19.3780890568 -0.692538 0.087569
10 55.0979747673 -1.745345 3.238016
11 21.5942553170 0.387367 4.645412
12 234.2934858077 -4.888285 1.462332
13 6.4559413752 3.749309 1.885614
14 135.5484354584 4.384850 -2.803400
15 19.9960334834 -1.396556 -0.749755
16 6.2172583182 -1.855421 0.145725
17 3.7064479455 2.116641 2.521698
18 115.7966006210 -4.603658 -0.198909
19 46.8404927929 4.320717 -1.413302
20 9.9337868708 -0.322137 1.626149
21 17.1244262571 1.548823 -3.043184
22 24.7627298582 -1.092127 2.011794
23 51.7166666641 1.565072 -4.072587
24 25.7848882773 -3.197359 -0.423757
25 18.1252292502 -1.231804 -0.829728
26 1.3684476973 1.831333 -0.707699
27 57.4505171592 -3.725367 -0.726794
28 18.0067250244 -1.922786 -1.910611
29 244.4050346375 -4.676003 1.999975
30 7.2345955224 -0.339588 2.245026
31 1.0371586097 0.841485 1.403595
32 6.9427850252 -1.331564 1.379455
33 4.0682555545 -0.084990 -0.782877
34 231.4970370409 4.345628 -4.139357
35 17.8495607073 -1.017968 -2.988737
36 3.1008856019 -1.354644 -0.571762
37 38.2076168059 -2.835316 0.800653
38 253.9705451462 4.480749 -4.090595
39 4.6936592086 1.325958 -1.806878
40 27.9312093043 4.372844 4.372844
41 136.7033185850 -3.736671 2.035492
42 16.4327013424 3.452348 1.403595
43 17.8651232474 1.831333 0.037506
44 17.7550011003 -1.354644 -1.911760
45 43.3227623545 2.208808 -2.988110
46 298.9787799525 -4.683231 2.521698
47 9.8426698515 -0.084990 1.737501
48 4.3037522057 -1.236240 -1.806878
49 21.3555238991 3.770779 2.321431
50 64.0483655976 4.374654 -1.557193
51 114.6248309691 -3.727223 1.379455
52 76.1785922346 -3.013281 2.245026
53 16.2873602211 -1.354280 -3.401754
54 5.4692069595 -2.220452 -3.889803
55 13.7518572171 3.753269 -0.744545
56 13.1111995543 1.548823 -3.000045
57 3.9399026788 -2.171518 -3.888501
58 20.8860763706 0.215684 4.643749
59 13.0128150228 1.884098 -0.717774
60 36.2693421012 1.849518 -2.979296
61 28.0038350747 0.646633 -3.916523
62 103.7875579399 -4.662961 -0.749755
63 1.9921207548 -1.353659 -0.634771
64 19.4128709870 -1.887587 -1.682180
65 20.5596080873 1.258251 -1.494103
66 49.8050281202 1.450940 -4.747511
67 63.6355719494 -3.197359 1.169194
68 10.5733767585 -0.313578 4.372844
69 8.1692545219 1.082342 -1.883190
70 15.6977250708 -0.339641 3.912982
71 104.9761671303 -4.170335 0.463706
72 14.2653564611 0.997662 -3.453975
73 29.4797660780 -3.725367 -1.301671
74 18.6868007060 0.198171 -0.198909
75 2.2363352373 -1.779360 -2.803400
76 0.5885217755 -0.327186 0.430322
77 17.2015478636 4.400895 1.462332
78 61.8392113093 4.512902 -1.268019
79 20.2247052793 -2.496457 0.454703
80 29.8197456587 3.844316 4.426237
81 12.8262869893 0.162480 -1.678939
82 19.0365434018 -0.327186 -3.920357
83 35.0126737097 -2.079258 2.320858
84 1.1077597048 1.831333 -0.742861
85 12.3571811844 -1.855913 -0.634771
86 22.5421737276 -2.114363 -2.803400
87 2.7273750745 -1.221326 -0.571762
88 36.4738838165 -1.879610 2.300388
