evaluations raw_y x0 x1
1 15.7573190055 -3.020960 -3.401754
2 2.7068190043 1.865613 -1.481841
3 15.7781187318 2.208808 2.300388
4 11.7092595865 -1.770363 -3.916523
5 17.4322933428 -1.877714 -4.747511
6 10.3038739870 3.436182 -0.744545
7 47.0128562408 -3.727470 4.426237
8 10.1988855219 0.162480 2.035492
9 2.4421187212 -0.692538 0.087569
10 23.3069862733 -1.745345 3.238016
11 33.6837701134 0.387367 4.645412
12 33.2906049488 -4.888285 1.462332
13 21.4818594781 3.749309 1.885614
14 19.7851268797 4.384850 -2.803400
15 2.8860621732 -1.396556 -0.749755
16 6.1411655535 -1.855421 0.145725
17 17.0052525498 2.116641 2.521698
18 24.5027407695 -4.603658 -0.198909
19 16.6137420685 4.320717 -1.413302
20 8.0753585519 -0.322137 1.626149
21 5.2381207043 1.548823 -3.043184
22 11.8488176710 -1.092127 2.011794
23 10.2238745854 1.565072 -4.072587
24 12.4409514074 -3.197359 -0.423757
25 2.3110251246 -1.231804 -0.829728
26 2.6934582953 1.831333 -0.707699
27 16.0107170430 -3.725367 -0.726794
28 5.3014033226 -1.922786 -1.910611
29 34.2583266650 -4.676003 1.999975
30 11.9233423694 -0.339588 2.245026
31 6.9021717440 0.841485 1.403595
32 8.9428001422 -1.331564 1.379455
33 0.2539200450 -0.084990 -0.782877
34 25.6468819625 4.345628 -4.139357
35 4.9708455959 -1.017968 -2.988737
36 2.9261448658 -1.354644 -0.571762
37 13.3680835154 -2.835316 0.800653
38 26.4827020610 4.480749 -4.090595
39 1.5742695212 1.325958 -1.806878
40 47.5517183650 4.372844 4.372844
41 17.0388496356 4.363643 -0.782877
42 2.8818476152 -1.315398 -1.806878
43 29.4005146585 -1.231804 4.058223
44 1.0626727593 -0.692538 -0.745693
45 10.9899270429 1.831333 -4.071961
46 3.4180271762 -1.567193 -1.481841
47 12.8511998694 -1.396556 2.026095
48 4.4534247406 -1.774799 -0.571762
49 10.0837965905 3.393303 -0.686656
50 9.1356642809 3.274411 -1.082447
51 17.5450258120 4.373091 -1.910611
52 2.0522201654 0.849164 0.145725
53 7.4485970801 -0.692174 1.403595
54 12.8416833075 -0.789676 2.271746
55 8.1225455702 1.552783 1.379455
56 8.5760409252 0.162480 -4.083895
57 8.0287337934 -0.273203 1.627451
58 16.9183600875 -3.192642 -3.403417
59 1.9555809348 1.614818 -0.839804
60 8.4911073063 0.463174 -4.063147
61 12.3438400088 1.131106 2.245026
62 24.7020597619 -4.662961 -0.423757
63 1.0129757902 -0.691554 -0.808702
64 10.7697387552 3.471380 -0.516114
65 1.4275544194 -0.938494 -1.065297
66 0.3327584475 0.637317 -0.726794
67 16.5692990466 4.320717 -1.302917
68 20.3032548195 2.855089 2.521698
69 2.0499688186 -0.382626 0.126245
70 19.6134465587 -4.141695 -1.706221
71 1.7398592908 -0.625346 -2.141036
72 27.5839212051 -4.671375 -2.983388
73 24.8452164238 -4.603658 -0.034289
74 12.3533934692 -1.606703 -4.139357
75 18.8159155650 -2.942316 -4.090595
76 7.6986737321 0.055858 -3.924450
77 36.3718172037 -1.392240 4.645412
78 14.8036118674 4.085008 -1.500012
79 24.8167745885 3.455852 -4.972194
80 30.8977430195 -0.313578 4.372844
81 0.6562165334 -0.084990 -0.420516
82 0.2682944966 0.637317 -1.503847
83 9.7150614437 -2.845777 -0.819334
84 7.3347993727 -0.692538 1.381139
85 2.7303714308 -1.397048 -1.065297
86 0.8496880453 0.906319 -1.806878
87 3.5077921834 1.846247 -2.141036
88 19.4287415548 -4.143591 -0.839804
89 34.4569109486 -0.382626 4.678707
90 9.2336406768 0.849164 -4.136396
91 2.3355762350 -1.231804 -0.794134
92 1.9663419437 1.618706 -0.839557
93 22.1446900731 4.945749 -1.504539
94 11.2935789882 3.595134 -0.806966
95 10.7826983627 3.470991 -0.504153
96 0.9015943230 -0.670442 -0.934948
97 12.6885811228 3.274411 -3.043184
98 10.4093027588 -2.011306 -3.455305
99 7.1462395494 -0.515717 1.403595
100 6.3407054127 0.055858 1.353562
101 38.2270851135 -4.018205 3.313726
102 3.8927417317 -0.322137 -3.044176
103 2.0331534916 -0.369340 0.126203
104 18.3351719246 0.463174 3.119988
105 8.8511348037 2.457573 0.840726
106 10.8196673331 3.436182 -1.984899
107 1.4449912182 -0.764310 -0.516114
108 13.5161042251 1.646961 2.245026
109 12.5929058714 -1.606703 1.865642
110 0.6167473961 -0.028972 -0.423757
111 17.9978047430 -0.457496 3.025697
112 0.3723370022 -0.339641 -1.302917
113 17.4084150681 -1.716227 2.521698
114 8.8912056381 -0.280168 -4.090595
115 1.3560250712 0.429153 -0.005746
116 11.7247512017 -1.745345 -3.937478
117 0.6318604526 0.198171 -0.363783
118 29.2997199773 -3.586794 -4.972194
119 30.6776846861 0.570173 4.372844
120 2.7771652625 0.492373 0.492373
121 9.0035637973 -0.084990 -4.138320
122 6.2538878516 0.231491 1.343887
123 1.2948903746 -0.875712 -1.302917
124 10.0083893649 3.389558 -0.745534
125 0.1263064849 0.198171 -0.805627
126 11.9986296185 0.906319 2.244897
127 1.0222010411 -0.670442 -0.744702
128 9.5089089423 -0.691554 -4.092291
129 1.0113864192 -0.692538 -0.813693
130 30.6003901032 0.429153 4.372150
131 32.0484213892 -0.938494 4.377569
132 1.4622689370 -0.004168 0.024824
133 0.8938713565 -0.625346 -1.507131
134 3.8850318137 -1.692591 -0.839804
135 3.5588409036 -1.606823 -0.839557
136 9.7407174675 -2.684670 -0.102292
137 0.1979255712 0.527495 -0.806845
138 5.2319702016 -1.927442 -1.848549
139 3.1047050529 0.134837 -2.914864
140 17.1183514281 2.044747 2.572446
141 30.6265704442 0.492373 4.372140
142 2.6925872711 1.866511 -0.859270
143 0.6194225905 0.779254 -0.571762
144 0.2258115231 0.625850 -1.451156
145 1.7165731692 1.548823 -0.964712
146 18.8801382259 4.057296 0.942235
147 6.4093717794 -0.075000 1.353562
148 12.0311594254 0.841485 -4.575076
149 9.0125480635 1.375517 1.627451
150 8.4698419341 0.101169 -4.063147
151 16.0834138462 0.162480 2.852596
152 30.4183213295 -0.280168 4.332669
153 12.9252709011 3.436182 0.513934
154 16.2748415050 3.175585 -3.937478
155 0.3996260496 -0.339588 -1.377487
156 21.4202626650 1.969882 3.141094
157 20.5714838943 -4.269775 -1.500012
158 16.4012286284 -1.441272 2.521698
159 21.8580723188 -2.449206 -4.972194
160 20.1065477922 2.639364 2.639364
161 2.6978369806 1.864202 -1.474950
162 1.1041574740 -0.584575 -1.791592
