evaluations raw_y x0 x1
1 58518.1474489071 -3.020960 -3.401754
2 39014.4528583603 1.865613 -1.481841
3 5.5020354905 2.208808 2.300388
4 86464.7007823562 -1.770363 -3.916523
5 118942.3808381996 -1.877714 -4.747511
6 31233.0174743706 3.436182 -0.744545
7 27679.5813010314 -3.727470 4.426237
8 4.1861979399 0.162480 2.035492
9 3352.8529475438 -0.692538 0.087569
10 3372.4843027128 -1.745345 3.238016
11 12854.1021457298 0.387367 4.645412
12 2285.0671020973 -4.888285 1.462332
13 837.5183108060 3.749309 1.885614
14 104405.3060193835 4.384850 -2.803400
15 9940.2854571940 -1.396556 -0.749755
16 1278.0500695655 -1.855421 0.145725
17 6.3532236916 2.116641 2.521698
18 1977.6561582921 -4.603658 -0.198909
19 55157.8523218746 4.320717 -1.413302
20 4.0561620305 -0.322137 1.626149
21 84852.8976517520 1.548823 -3.043184
22 2.3080722204 -1.092127 2.011794
23 127200.2523481864 1.565072 -4.072587
24 2755.1502270737 -3.197359 -0.423757
25 11525.9642099824 -1.231804 -0.829728
26 21919.6275677149 1.831333 -0.707699
27 4373.0085059747 -3.725367 -0.726794
28 27150.1640394497 -1.922786 -1.910611
29 2581.3932209342 -4.676003 1.999975
30 3.2974939772 -0.339588 2.245026
31 4.2581078120 0.841485 1.403595
32 5.0223359611 -1.331564 1.379455
33 14998.9846360405 -0.084990 -0.782877
34 165212.7532889686 4.345628 -4.139357
35 61114.7464475324 -1.017968 -2.988737
36 7931.9368713743 -1.354644 -0.571762
37 50.5323112875 -2.835316 0.800653
38 164653.1855653519 4.480749 -4.090595
39 43921.9383334688 1.325958 -1.806878
40 2501.8932177150 4.372844 4.372844
41 1595.1152687614 4.336427 2.011794
42 3588.7165506892 -4.659837 2.245026
43 162.5221783251 -0.322137 2.874406
44 777.8983575813 0.162480 3.236867
45 6727.4222878566 0.841485 0.088196
46 1992.2268701491 -4.728303 1.379455
47 29363.0842848596 2.208808 -0.981991
48 2558.8075487486 -3.729802 2.521698
49 500.9980537161 2.403455 1.424638
50 83680.2374300520 4.374654 -2.266264
51 19258.1773817955 4.345875 0.145725
52 2364.4420551039 -4.880606 -0.198909
53 3.5865965881 0.162844 1.462332
54 8253.5673730084 -1.846645 -0.723035
55 683.9310234620 3.753269 1.999975
56 559.5826825880 -3.197359 0.076262
57 2530.2159777315 4.421777 4.374146
58 14368.7378362590 -0.256673 -0.784540
59 2.3072141451 0.637317 1.616074
60 573.6183209175 -2.896665 0.097010
61 12839.0496101289 -0.534440 -0.749755
62 23034.2364978214 1.578114 -0.829728
63 3.9956814592 0.163464 1.972483
64 5186.8648831712 -1.710146 3.466446
65 3.3973244091 -1.856410 1.567356
66 66417.6468302200 3.866574 -1.910611
67 22117.7708667978 -3.727470 -2.075962
68 9412.0370176307 -1.545142 -0.744545
69 39254.6036263025 -0.989346 -2.205225
70 9903.5179515289 -4.067920 3.232114
