evaluations raw_y x0 x1
1 8.4020700329 -3.020960 -3.401754
2 2.1934658304 1.865613 -1.481841
3 48.1785459856 2.208808 2.300388
4 2.2037403451 -1.770363 -3.916523
5 8.0864049188 -1.877714 -4.747511
6 59.5462321788 3.436182 -0.744545
7 81.1320075165 -3.727470 4.426237
8 33.0441297543 0.162480 2.035492
9 42.1247348066 -0.692538 0.087569
10 80.3632264906 -1.745345 3.238016
11 70.8755560132 0.387367 4.645412
12 61.7281447822 -4.888285 1.462332
13 69.3578043584 3.749309 1.885614
14 23.0574774126 4.384850 -2.803400
15 18.3286232824 -1.396556 -0.749755
16 22.3815396534 -1.855421 0.145725
17 47.5388808462 2.116641 2.521698
18 8.8828708985 -4.603658 -0.198909
19 55.3021125873 4.320717 -1.413302
20 70.6591618544 -0.322137 1.626149
21 47.6109693231 1.548823 -3.043184
22 69.8177508373 -1.092127 2.011794
23 7.1616916196 1.565072 -4.072587
24 25.6948935862 -3.197359 -0.423757
25 20.9050821345 -1.231804 -0.829728
26 5.6679007875 1.831333 -0.707699
27 57.5812822232 -3.725367 -0.726794
28 17.3945090462 -1.922786 -1.910611
29 71.7728629667 -4.676003 1.999975
30 66.2574127978 -0.339588 2.245026
31 2.7224606382 0.841485 1.403595
32 65.6806905540 -1.331564 1.379455
33 58.8976224626 -0.084990 -0.782877
34 58.1054780481 4.345628 -4.139357
35 7.0883102305 -1.017968 -2.988737
36 18.8524593009 -1.354644 -0.571762
37 10.2856347587 -2.835316 0.800653
38 65.6801798257 4.480749 -4.090595
39 31.8762197492 1.325958 -1.806878
40 35.8648642755 4.372844 4.372844
41 15.5665844060 -3.736671 -1.481841
42 2.0946754780 -1.839255 -3.916523
43 65.1421948518 0.841485 4.058223
44 5.4619022348 1.831333 -1.808027
45 24.9407183847 -1.017968 -0.423130
46 2.3997891355 -1.717464 -4.072587
47 8.0515804799 -1.877714 -1.687594
48 26.3011466669 0.158044 -3.401754
49 44.8662645188 0.544002 -2.967694
50 28.6609346784 1.082342 -1.082447
51 7.5156377776 -3.727223 -1.910611
52 18.9867340558 -1.346965 -0.749755
53 2.0397303588 1.831697 -0.571762
54 28.9946910130 -1.142627 0.114289
55 14.1862156569 -2.831356 0.145725
56 57.5234888554 4.384850 -0.435064
57 21.6725926832 -1.182870 -0.828426
58 48.7250001780 2.037125 2.298725
59 70.6688483773 2.581240 1.393519
60 34.5346468253 4.685544 -2.782652
61 21.4836121622 -2.034107 0.087569
62 47.8660888454 -4.662961 2.521698
63 6.2741615994 1.832317 -1.871036
64 22.3669744611 1.361157 -1.578447
65 23.3147961811 -2.429992 -2.021178
66 58.4740769770 0.637317 -0.726794
67 70.5277677979 4.345628 2.157257
68 7.3841208593 1.489711 -0.782877
69 47.7810470621 -4.489724 2.127728
70 50.5899397361 0.055858 -2.473388
71 66.8807723797 -3.715586 3.598235
72 34.5249902448 -0.669775 -0.756625
73 9.3833409459 -0.339588 -4.794903
74 54.7226888473 -1.851008 1.885614
75 60.5947384966 -0.129004 2.011794
76 1.8251282757 2.338932 -1.686925
77 76.1520240800 1.583582 4.645412
78 67.8894418521 0.161999 -1.500012
