evaluations raw_y x0 x1
1 45.3660771729 -3.020960 -3.401754
2 29.8924765865 1.865613 -1.481841
3 9.2188049643 2.208808 2.300388
4 57.4576438477 -1.770363 -3.916523
5 7.4873527187 -1.877714 -4.747511
6 66.6590479011 3.436182 -0.744545
7 23.8205062225 -3.727470 4.426237
8 31.8552631668 0.162480 2.035492
9 60.8718856813 -0.692538 0.087569
10 63.3333291187 -1.745345 3.238016
11 67.4499371266 0.387367 4.645412
12 25.7388035996 -4.888285 1.462332
13 52.3025822301 3.749309 1.885614
14 22.5897854305 4.384850 -2.803400
15 70.7020092985 -1.396556 -0.749755
16 4.8037861628 -1.855421 0.145725
17 35.3809537196 2.116641 2.521698
18 73.7135884778 -4.603658 -0.198909
19 66.8852496363 4.320717 -1.413302
20 6.7641862053 -0.322137 1.626149
21 23.1270228067 1.548823 -3.043184
22 7.1173809866 -1.092127 2.011794
23 22.5185486959 1.565072 -4.072587
24 55.0158382626 -3.197359 -0.423757
25 15.4147533693 -1.231804 -0.829728
26 41.2577877465 1.831333 -0.707699
27 55.9437651287 -3.725367 -0.726794
28 49.6150966017 -1.922786 -1.910611
29 36.0776076942 -4.676003 1.999975
30 18.2863915517 -0.339588 2.245026
31 41.5979860858 0.841485 1.403595
32 73.4220323427 -1.331564 1.379455
33 8.9352336733 -0.084990 -0.782877
34 46.4928442067 4.345628 -4.139357
35 55.3653824273 -1.017968 -2.988737
36 47.7854246441 -1.354644 -0.571762
37 23.5183774201 -2.835316 0.800653
38 37.6911651035 4.480749 -4.090595
39 5.0292583396 1.325958 -1.806878
40 20.3212833499 4.372844 4.372844
41 64.8322615366 -4.612859 0.145725
42 28.3531120156 -3.711304 -1.806878
43 23.7993841905 -0.322137 4.213254
44 61.7494722051 -1.092127 2.034343
45 25.8050658384 -1.877714 -1.481214
46 50.4312849968 -4.160162 -0.782877
47 52.5664350770 2.208808 -4.413649
48 42.1516149505 2.112206 -0.829728
49 37.8572823222 -0.315743 -4.726468
50 39.9850760567 4.686422 -0.927416
51 44.7081917611 -4.603411 -4.072587
52 52.1322166301 1.556502 -2.803400
53 16.4788496885 -1.091763 -3.043184
54 49.3686096845 4.030660 -4.063875
55 21.6082069255 4.376803 4.426237
56 29.7242833960 -4.888285 -1.493148
57 61.4558213700 -2.786382 0.801955
58 43.7878356434 -3.192642 -3.403417
59 77.8236338536 3.558321 1.616074
60 48.5923831559 -4.587590 1.483080
61 29.3577372526 1.131106 -4.090595
62 39.5615367591 -1.383515 -0.707699
63 17.4194995758 -1.091143 1.948785
64 40.6255441268 0.197678 2.263923
65 47.4272801705 -0.327186 2.188376
66 63.5237634900 0.858904 -0.571762
67 56.1836611970 -1.922786 -0.665860
68 53.2678580711 -0.625346 1.885614
69 70.6230759549 1.894831 4.713410
70 43.1769349645 -1.776341 1.005631
71 50.9427002327 1.446937 0.512478
72 18.7674245658 2.070497 4.577342
73 3.1228910342 -0.692538 0.922593
74 31.3206571693 1.483218 3.238016
75 57.5405119174 -0.781909 -0.744545
76 63.7550356145 -0.339641 1.870285
77 72.3249358986 -0.994729 4.645412
78 20.7773283037 -0.521016 3.410951
79 25.1275821535 -2.595548 -1.521916
80 19.6544285913 4.172814 -0.198909
81 67.2794135287 -0.692538 2.267164
82 74.4694399952 -1.855421 1.001797
83 22.1956129542 -1.837021 2.320858
84 27.8895061362 -0.322137 -4.088910
85 52.9580070215 4.172322 2.011794
