evaluations raw_y x0 x1
1 37.7799722739 -3.020960 -3.401754
2 19.9188959737 1.865613 -1.481841
3 45.5599945602 2.208808 2.300388
4 39.6399692248 -1.770363 -3.916523
5 29.0063810610 -1.877714 -4.747511
6 29.4300661260 3.436182 -0.744545
7 92.4959780920 -3.727470 4.426237
8 29.4547373320 0.162480 2.035492
9 25.1665998254 -0.692538 0.087569
10 55.4951970233 -1.745345 3.238016
11 58.6213336353 0.387367 4.645412
12 54.6709296197 -4.888285 1.462332
13 50.3643751765 3.749309 1.885614
14 7.8031562496 4.384850 -2.803400
15 18.6767594929 -1.396556 -0.749755
16 20.5492704705 -1.855421 0.145725
17 48.3180525445 2.116641 2.521698
18 62.8151799217 -4.603658 -0.198909
19 9.1301726594 4.320717 -1.413302
20 13.9384698644 -0.322137 1.626149
21 31.2723911330 1.548823 -3.043184
22 19.5578731555 -1.092127 2.011794
23 32.0195350878 1.565072 -4.072587
24 60.9422176253 -3.197359 -0.423757
25 25.8962305248 -1.231804 -0.829728
26 33.2402113103 1.831333 -0.707699
27 49.8192148372 -3.725367 -0.726794
28 40.6703612782 -1.922786 -1.910611
29 75.3275695903 -4.676003 1.999975
30 30.4109064316 -0.339588 2.245026
31 36.2829566989 0.841485 1.403595
32 14.7856163291 -1.331564 1.379455
33 36.2160650616 -0.084990 -0.782877
34 19.4455598024 4.345628 -4.139357
35 35.7754133485 -1.017968 -2.988737
36 36.7187078222 -1.354644 -0.571762
37 47.4606538118 -2.835316 0.800653
38 32.0113663353 4.480749 -4.090595
39 30.9170382326 1.325958 -1.806878
40 69.7445578008 4.372844 4.372844
41 53.1402451963 -3.736671 -2.803400
42 37.3167350721 -0.323422 -1.413302
43 32.9481863779 -0.322137 0.868494
44 32.7106235602 -1.331564 -4.091743
45 30.6761788118 -1.396556 -3.042557
46 74.2146000294 -4.575881 -4.139357
47 41.7061432767 -1.092127 -3.676047
48 6.0710998426 1.560637 -1.481841
49 18.1666172296 0.165414 -0.728712
50 24.9813216423 2.153731 -4.272176
51 33.7958266951 -3.727223 -0.829728
52 31.0538044099 3.443861 -4.747511
53 34.0571512611 -1.331200 -0.744545
54 37.4227200457 -1.468057 -2.962017
55 47.8155982633 2.157691 2.245026
56 25.6912607755 1.325958 -3.054491
57 48.3412666151 0.211413 2.036794
58 49.8443898608 -1.526327 -0.573425
59 36.0355526566 3.282536 1.616074
60 23.3118107643 1.626653 -3.033743
61 18.0043582345 4.125865 -2.988737
62 26.4292253954 4.385885 -0.782877
63 5.1442523473 -1.330580 1.316446
64 4.2216996659 4.515948 -3.862164
65 16.4598782722 0.989520 -0.943352
66 27.5581867410 1.614818 -3.916523
67 15.6074855797 -1.922786 -0.283851
68 46.4141693266 -2.227351 2.300388
69 42.6235530596 1.724374 -2.334721
70 37.8982314687 0.658890 -4.809215
71 28.0141515167 0.637317 0.453992
72 24.1321768257 0.889400 -1.833006
73 67.3821015738 -4.888285 -3.175694
74 43.7999207671 1.627328 3.238016
75 55.1500933732 2.693683 4.645412
76 21.2017888739 0.901320 -1.361637
77 26.5149844903 0.198171 -0.198909
78 64.9652364006 -4.069084 -0.313578
79 29.5979221831 0.161999 -1.500012
80 62.0043514481 0.636265 4.426237
81 43.2872373161 4.515948 -3.039943
82 34.5783547571 -1.330580 -4.094429
83 31.3863153047 -1.719682 -0.263381
84 24.1671055697 4.384850 -3.914839
85 38.1051503135 -1.092619 -1.413302
86 25.7266874989 4.183020 1.626149
87 32.4971985606 -1.381642 1.379455
88 45.7227316479 1.625431 -0.283851
89 30.0122678296 0.989520 -0.280283
90 32.3026374047 4.125865 2.247987
91 20.8440096179 0.165414 -2.851840
92 14.0654961279 -1.918898 -0.283605
93 43.8872849388 4.672814 -4.095121
94 35.9424807451 3.595134 -0.806966
95 29.7219401059 0.162090 2.047452
96 37.7415463969 4.406946 -2.992655
97 10.1871002206 2.944700 -1.833006
98 36.8601420647 -1.423135 -4.636088
99 38.5514949729 0.434126 -3.054491
100 46.3475652779 -1.231804 -3.942416
101 59.0920656506 -4.302832 2.108561
102 25.8218324292 0.198171 -1.833999
103 24.3522785553 1.002806 -0.943394
104 30.2126401496 0.637317 0.350317
105 23.3871867239 1.561143 -1.254419
106 27.1380997184 3.436182 -0.729618
107 34.0207926759 2.581240 2.035492
108 37.7850478793 2.580999 -1.500012
109 29.0146938041 -0.339588 -1.377487
110 25.5678641106 1.853204 -3.043184
111 41.1888606681 -0.530248 -0.153185
112 23.3848817760 3.234516 -4.072587
113 5.3135630307 4.226189 -4.809215
114 30.1235506494 -0.647469 -2.334721
115 33.7900608277 2.990012 -0.880992
116 32.5210948332 2.208808 -4.762595
117 13.3529452506 0.055858 -1.768834
118 68.8610858870 4.549909 4.645412
119 69.1434022102 2.818132 4.426237
120 28.2950309721 0.492373 0.492373
121 20.3631616177 4.515948 -4.089558
122 33.3267698773 -1.056171 -0.839404
123 33.6251143389 -1.268782 -4.809215
124 36.2312586771 0.115856 2.034502
125 40.2479749963 4.384850 -0.999267
126 34.6751928711 4.320717 -2.334850
127 24.4927203042 2.944700 -0.938341
128 43.5750906373 0.055858 0.483977
129 26.3954370161 -0.322137 -2.811466
130 44.6293321654 -1.918898 4.425544
131 64.6971034641 -1.331564 4.430963
132 40.9163926514 -2.352219 -0.253034
133 22.0477567371 0.989520 -4.097877
134 24.6306461108 0.552429 -2.988737
135 38.7458536507 4.480628 -0.728712
136 32.5919488772 -2.298807 -2.306306
137 23.2701021025 4.714173 -2.804618
138 28.8597505292 0.193515 -1.771936
139 18.6664909928 0.464730 -0.571458
140 10.0428997407 2.918118 -0.830244
141 59.8696314803 1.561143 4.425533
142 19.9378782016 2.919015 -0.207673
143 31.9016519054 -1.188643 -4.272176
144 12.9743748952 -1.342046 1.369138
