evaluations raw_y x0 x1
1 14884344.4966772776 -3.020960 -3.401754
2 3886896.3166991631 1.865613 -1.481841
3 3078954.7211974603 2.208808 2.300388
4 19010386.2353416421 -1.770363 -3.916523
5 25530236.9804106690 -1.877714 -4.747511
6 1622252.2858572952 3.436182 -0.744545
7 15749367.8579467312 -3.727470 4.426237
8 2179122.4675751380 0.162480 2.035492
9 138368.3286738294 -0.692538 0.087569
10 7959073.1180925481 -1.745345 3.238016
11 17678287.8802413717 0.387367 4.645412
12 1054836.5848819788 -4.888285 1.462332
13 2026927.8513782083 3.749309 1.885614
14 10274517.1231495515 4.384850 -2.803400
15 1640448.5764808618 -1.396556 -0.749755
16 93596.1014497941 -1.855421 0.145725
17 4449745.7441356350 2.116641 2.521698
18 355882.1004596972 -4.603658 -0.198909
19 3697980.3030277528 4.320717 -1.413302
20 1681962.2194943805 -0.322137 1.626149
21 12056509.7848270573 1.548823 -3.043184
22 2142033.9618846960 -1.092127 2.011794
23 20244090.5423347913 1.565072 -4.072587
24 682456.6198350381 -3.197359 -0.423757
25 1921766.3161331406 -1.231804 -0.829728
26 1494708.1673829556 1.831333 -0.707699
27 1560548.3680143366 -3.725367 -0.726794
28 5277964.1945266640 -1.922786 -1.910611
29 2125778.5374516239 -4.676003 1.999975
30 2813612.6555489283 -0.339588 2.245026
31 845137.7029211192 0.841485 1.403595
32 772574.0961479106 -1.331564 1.379455
33 1756704.1068691874 -0.084990 -0.782877
34 20768857.1140511893 4.345628 -4.139357
35 11641415.4963864014 -1.017968 -2.988737
36 1057189.9044834033 -1.354644 -0.571762
37 123308.5424315088 -2.835316 0.800653
38 20385790.7259313799 4.480749 -4.090595
39 4894097.1724668965 1.325958 -1.806878
40 15273648.0807387028 4.372844 4.372844
41 93596.3104845657 -1.886914 0.145725
42 123294.0239169300 -0.068824 0.800653
43 7067013.2059757235 -0.692538 2.978139
44 2124270.5249803080 -4.603658 1.998826
45 2027284.5670149059 -3.197359 1.886241
46 772574.8165852310 -1.479560 1.379455
47 2824193.5298635093 0.841485 2.247405
48 1054808.3713567613 -1.096563 1.462332
49 639838.6577314165 -1.635389 -0.402714
50 6376596.9212544532 3.415666 -2.162531
51 1560534.0244066743 -1.877467 -0.726794
52 1622253.0933659174 -1.388877 -0.744545
53 1640472.8806375777 -4.603294 -0.749755
54 2936749.7006076081 -0.789676 2.271746
55 1756702.5915123613 1.835293 -0.782877
56 2020869.8652547859 -1.231804 1.874307
57 1685932.6918141749 -0.273203 1.627451
58 3891531.6511677224 1.693931 -1.483504
59 146578.6390617864 1.953936 0.077494
60 1848685.8774333375 -0.931109 -0.808980
61 2813612.4188264771 -0.263676 2.245026
62 3078963.9056341941 4.493791 2.300388
63 421493.4695199893 -4.602674 -0.261918
64 2741828.3875140836 -4.640804 2.228406
65 14241352.6385150515 -3.833981 -3.321429
66 4894127.5064143557 -4.569419 -1.806878
67 314841.0172001087 -1.922786 -0.150333
68 7959083.5326446462 -3.116542 3.238016
69 4789654.6331079686 -3.547416 -1.776846
70 357526.9651309858 -3.908412 1.005631
71 2889958.8606819520 -1.725589 2.261829
72 1819810.0115499878 0.989520 -0.800789
73 24123880.0763335526 4.372844 -4.568828
74 15749344.5302538294 1.623733 4.426237
75 17678314.2097787932 -4.160902 4.645412
76 9832.7187132429 -1.229842 0.541739
77 20244105.5707012489 -2.676118 -4.072587
78 44.2987428448 -0.259626 0.454703
79 7474871.5496816756 -0.327186 3.090254
80 25530245.9658103772 -3.044106 -4.747511
81 3095693.8830800084 -0.259626 2.303630
82 4423498.2192112887 -1.229842 2.517864
83 337750.3845386506 -3.427710 -0.178439
84 1813876.1545420785 -0.068824 -0.799105
85 138364.6682856932 0.840993 0.087569
86 146608.2702224364 -4.545519 0.077494
87 314850.8001189420 -3.182446 -0.150333
88 355859.7327607400 -1.747241 -0.198909
89 25266751.4531528056 -3.908412 -4.714216
90 2903818.3301146599 -4.602674 2.264789
91 98103.3910681679 -1.635389 0.752212
92 355633.1752795276 -1.743354 -0.198663
93 4418762.7626191573 2.977382 2.517172
94 2060937.6618339713 -4.517051 1.937554
95 2793133.2076769122 -4.641194 2.240366
96 25888.9684895764 -0.046728 0.611398
97 1560525.0265468934 1.561267 -0.726794
98 10773221.3305056747 -4.276386 -2.872272
99 1640442.2555819815 1.362934 -0.749755
100 1911042.9864476467 -0.322137 -0.826682
101 8213846.8322837548 2.209186 3.313726
102 1563962.9295961976 1.835293 -0.727786
103 357451.3295768923 -3.895126 1.005589
104 5296883.2865492143 -0.931109 2.646059
105 268447.5034708194 -1.476081 -0.086399
106 1510904.6842722064 -4.676003 1.576200
107 2741798.4852134068 0.179598 2.228406
108 2813613.2480048668 -0.546847 2.245026
109 19919.9625942219 -1.725589 0.595098
110 3078958.8973247907 -1.126448 2.300388
111 3220760.8947244324 -3.298866 -1.239151
112 4789632.7872838192 0.726292 -1.776846
113 4894102.4689617222 -1.159885 -1.806878
114 7474869.1779125929 0.512986 3.090254
115 7628362.2939832062 3.204063 -2.397339
116 3870411.8547485359 4.372844 -1.475916
117 5049124.8001128994 -4.471791 -1.849971
118 17678303.4349184409 -2.798351 4.645412
119 20244090.4170545004 1.195203 -4.072587
120 2121.8404373661 0.492373 0.492373
121 5045296.8296922641 -0.259626 -1.848934
122 1655782.3280504479 -0.097570 1.617776
123 9833.5502288514 -1.413299 0.541739
124 3873164.0271118372 4.326220 -1.476906
125 1755961.4358438374 -0.046728 -0.782667
126 4894560.2832922842 -1.855421 -1.807007
127 1543051.1245601624 -1.635389 -0.721741
128 3036201.9274165086 -0.068824 2.291992
129 22719.4632966585 0.840993 0.603333
130 20249550.0089934431 1.953936 -4.073281
131 20206894.4263733104 -1.476081 -4.067862
132 121878.8963534017 1.520615 0.108064
133 959519.8456614824 -1.743354 1.437043
134 355872.1668528626 -3.373621 -0.198909
135 357456.0354624647 -4.471912 1.005589
136 2396471.2168939654 -3.083975 2.131032
137 25390.3480137589 0.282596 0.610181
138 1839702.3737170938 -0.326793 1.688211
139 529143.6705787810 2.181166 1.236558
140 7339197.9281439995 3.132168 -2.346590
141 20249662.2502879538 -4.676003 -4.073291
142 2277256.4770247191 -1.095665 2.084903
