evaluations raw_y x0 x1
1 323.3897892399 -3.020960 -3.401754
2 169.0271384592 1.865613 -1.481841
3 40.2828172420 2.208808 2.300388
4 381.6878601091 -1.770363 -3.916523
5 461.4569466753 -1.877714 -4.747511
6 148.8274121914 3.436182 -0.744545
7 108.6901279651 -3.727470 4.426237
8 29.0238287394 0.162480 2.035492
9 72.0066825113 -0.692538 0.087569
10 33.8890184870 -1.745345 3.238016
11 145.8108449868 0.387367 4.645412
12 51.9078778684 -4.888285 1.462332
13 61.2978046548 3.749309 1.885614
14 307.0862945650 4.384850 -2.803400
15 110.6659001780 -1.396556 -0.749755
16 75.7561136414 -1.855421 0.145725
17 57.6459469580 2.116641 2.521698
18 87.1996280400 -4.603658 -0.198909
19 197.3790588833 4.320717 -1.413302
20 8.3783942814 -0.322137 1.626149
21 300.8519100644 1.548823 -3.043184
22 20.5174389675 -1.092127 2.011794
23 378.3888894682 1.565072 -4.072587
24 91.9313667114 -3.197359 -0.423757
25 115.1178039163 -1.231804 -0.829728
26 121.4194069558 1.831333 -0.707699
27 125.5436791978 -3.725367 -0.726794
28 210.9603407225 -1.922786 -1.910611
29 18.1677174391 -4.676003 1.999975
30 9.3228227824 -0.339588 2.245026
31 31.0421644942 0.841485 1.403595
32 15.1129894273 -1.331564 1.379455
33 133.7193355025 -0.084990 -0.782877
34 422.7082601795 4.345628 -4.139357
35 290.1761802693 -1.017968 -2.988737
36 84.5341399013 -1.354644 -0.571762
37 51.7472002580 -2.835316 0.800653
38 416.2577647441 4.480749 -4.090595
39 200.4018425465 1.325958 -1.806878
40 129.1172577739 4.372844 4.372844
41 23.5460238783 -1.886914 1.626149
42 25.5925078134 -1.839255 2.245026
43 27.3085862034 -1.331564 3.189728
44 101.9678371088 -4.676003 -0.424906
45 92.6479996218 -1.092127 -0.198282
46 6.5491093845 -2.418151 2.035492
47 141.7881701063 0.841485 -1.057170
48 39.6856008357 -3.731906 3.238016
49 18.1657800726 0.469843 2.032837
50 102.5679753189 1.082342 4.289759
51 45.6913332464 -1.877467 1.462332
52 62.4729574426 3.756988 2.521698
53 34.5469494785 -4.675639 1.885614
54 123.9762433916 -1.681893 -0.803008
55 75.8234029344 -2.831356 0.145725
56 74.0146406040 -1.354644 -0.210217
57 71.5498996485 -0.643604 0.088871
58 133.7295219599 4.201161 4.371181
59 21.3400260685 0.636265 1.369380
60 94.5385528568 -1.053949 -0.189468
61 123.3892785007 -0.534440 -0.829728
62 152.2777312151 4.493791 -0.707699
63 24.3155445095 -4.675018 1.936966
64 84.2565917633 -3.162161 -0.195326
65 36.8901777022 -2.196244 0.929891
66 146.2601084969 0.373625 4.645412
67 81.9609195191 3.436182 0.994307
68 155.2138811263 -1.544150 -1.481841
69 234.9932468847 -3.880509 -2.246010
70 44.1252396742 0.836028 3.907289
71 69.8358440027 -2.042911 4.191896
72 94.1938874708 1.991016 -0.040788
73 58.3637418808 1.548823 0.978408
74 262.6348840593 -0.307575 -2.803400
75 367.9689774387 3.987788 -3.401754
76 52.1171216539 -1.146535 0.463706
77 397.9393986895 1.990180 -3.916523
78 44.2197119453 -0.259626 0.454703
79 154.7125146430 -2.249771 4.969140
80 474.0639044816 1.266782 -4.747511
81 76.3657859540 -2.418151 -0.186227
82 110.4303863811 -0.322137 -0.833563
83 31.7191652894 -2.669794 1.389850
84 50.9721168629 -1.331564 0.089253
85 16.2753376011 0.835536 2.032837
86 15.1512842300 0.898640 1.999975
87 18.2453071102 -4.660725 2.011794
88 23.6963091009 -1.546046 1.369380
89 455.6650957832 -4.675018 -4.714216
90 70.8342297601 0.841485 -0.037827
91 25.6861660656 -1.745345 1.331015
92 21.3390651992 0.640152 1.369626
93 110.6696108868 -0.371063 -0.834254
94 69.5281433138 3.595134 0.931886
95 85.2467644067 -3.162550 -0.183366
96 30.5397704120 -1.309468 1.190201
97 57.5580850391 1.082342 0.800653
98 226.5257693588 -4.276386 -2.268147
99 34.6245788244 -1.972502 2.521698
100 66.9869146281 1.548823 0.061676
101 126.3340604110 0.277878 4.595948
102 53.4153726563 -0.643604 0.799660
103 23.5875376635 -4.661733 1.936924
104 27.6097875621 -1.354644 3.715206
105 32.4240671759 -0.064118 3.060562
106 108.0672437921 3.436182 -0.071277
107 138.1116849277 4.610073 -0.195326
108 98.8374513750 0.901320 -0.423757
109 48.3591550939 1.991016 1.530278
110 80.9419160816 -1.256585 -0.189468
111 29.5897037267 -1.618896 1.389865
112 117.3477457059 -1.793421 -0.707699
113 147.3790302538 -4.679676 4.645412
114 163.6557323120 -1.207808 4.969140
115 30.7849036695 -3.123797 1.759079
116 79.1583074364 4.320717 3.334021
117 164.3689722710 -1.121016 4.948099
118 331.9298485520 -0.003823 -3.401754
119 381.6089051053 -3.015071 -3.916523
120 48.2421437043 0.492373 0.492373
121 131.3523601812 -2.418151 4.646448
122 44.6827191101 -0.467971 0.789985
123 18.7636849445 -4.612237 2.245026
124 80.8429613856 -3.208785 -0.196316
125 57.1852065851 0.898640 0.398830
126 109.4870721606 0.835536 -0.707827
127 52.7027865019 -4.660725 0.459756
128 83.6912398273 0.640152 -0.197864
129 10.3972407975 0.636265 1.991909
130 380.0176369707 -4.661733 -3.917216
131 380.5603842301 -4.675018 -3.911798
132 3.8145049261 -3.372672 1.967495
133 29.8045387858 -1.354644 0.904602
134 30.2044972505 -3.540953 1.389865
135 44.2939873968 0.387246 1.190201
136 22.7215089273 -4.061898 3.249135
137 33.3914557987 1.227963 1.998757
138 52.5924321536 -1.151191 0.525769
139 135.4447104042 -1.284228 -1.253299
140 175.0772415215 -1.192911 4.998847
141 375.0475058547 0.836028 -3.917227
142 13.2708910249 -2.195347 1.552462
143 50.6435913813 -0.180200 0.492373
144 12.7628336405 -0.333603 1.678840
145 59.1091226015 -2.835316 0.545537
146 9.5941110593 -3.428653 2.731853
147 37.7156239362 -0.403217 0.799660
148 57.9407444818 1.548823 3.532915
149 62.0317993761 -1.440661 4.191896
150 34.0218159479 -0.339641 3.334021
151 19.4313932022 -1.256585 2.405266
152 82.1087635870 3.436182 3.514940
153 162.5866422029 -3.162161 4.828998
154 90.2970330199 -2.506957 -0.423757
155 146.4666699289 -1.793421 4.634025
156 107.7006829816 -4.875738 -0.583345
157 173.6954161687 -0.933756 4.969140
158 163.1155144497 -3.060508 4.948099
159 325.6043609887 -1.035082 -3.401754
160 26.6155371008 2.639364 2.639364
161 33.8434572058 -1.973913 2.528589
162 22.5900739962 -0.592254 2.015261
163 15.3756713960 -1.202914 1.626149
164 68.3971705598 -0.339588 -0.322135
165 78.5451978218 -3.428653 -0.198291
166 155.0462379458 0.636265 -1.504045
167 328.7715828473 -0.333603 -3.610070
168 93.0129952256 -3.466221 -0.428796
169 25.1752459700 0.835933 1.379455
170 17.4689493430 0.898640 1.958146
171 14.1002936867 0.692033 2.032837
172 42.1362554691 -3.854017 1.167483
173 18.1162361246 -0.370905 2.405266
174 35.2976781261 0.640152 3.184813
175 13.5163241539 -4.061898 1.632353
176 27.4817377955 -1.862109 1.936924
177 18.8014200544 -3.963960 2.731806
178 7.9336981182 -3.433782 2.608983
179 27.9116552424 -4.991580 2.011504
180 182.5695714606 -1.618896 -1.805068
181 4.6301306965 -1.309468 2.017441
182 28.8756744925 -3.168712 1.403595
183 14.3476591215 0.690422 2.034261
184 47.2501344349 0.837939 4.086944
185 21.5579256685 -3.254894 2.521698
186 16.9587122386 -3.198809 2.214467
187 42.1333754010 -0.403217 0.945074
188 20.2725758361 -2.081986 2.751874
189 50.2184653763 -3.945324 0.492373
190 46.2229388602 -1.161103 0.800653
191 55.1850282298 -1.725589 3.532915
192 406.4621103823 -1.440661 -4.326495
193 62.0320987863 -0.781909 0.994307
194 23.3862308546 -2.593438 2.402337
195 16.5408637026 -3.274342 2.854953
196 85.6039783465 -2.197540 -0.583345
197 41.3052173316 -2.264472 3.514153
198 62.8265099560 -3.115707 0.091301
199 301.6192532941 -3.539626 -3.250285
200 69.2779557447 -0.331377 -0.331377
201 17.9389028227 -1.729227 1.967495
202 12.9818774737 0.587976 2.017441
203 7.2880806038 -2.418151 3.006205
204 14.7741159262 -3.433782 1.549704
205 18.0751091653 -1.172274 1.626149
206 7.9887672944 -2.226660 2.245026
207 30.5732415156 -2.114607 1.809746
208 156.3608401995 0.636265 4.876648
209 57.4125343387 -0.797545 1.026750
210 148.4878885249 -2.195347 4.935441
211 24.7440925137 -3.084533 2.213694
212 92.1956450143 0.692033 -0.573530
213 20.1520148926 -0.167695 2.931608
214 17.7897780137 -2.192377 1.379455
215 53.6312252226 0.898640 3.532916
216 26.2710752716 0.862829 2.854953
217 36.2769774384 -2.587656 3.717972
218 23.1554432117 -4.049475 2.405266
219 15.2412539973 0.468542 2.011794
220 14.7012269168 -3.963960 1.999880
221 51.0771311129 -2.081986 3.515530
222 14.6035644954 -3.275398 2.861483
223 63.3001111459 -3.097036 0.080489
224 11.3099280243 -2.593438 1.983077
225 40.2202757075 0.415373 0.842445
226 122.6926762242 -1.354644 -1.203456
227 27.9477197471 -2.561027 1.403595
228 22.1266089351 -4.144998 3.412027
229 25.8684377512 -3.623872 1.943662
230 47.7658981088 -2.701608 3.620709
231 77.5003831432 -2.168540 -0.216211
232 3.3615527166 -2.273132 2.616237
233 20.5865623904 0.492373 2.746186
234 14.7170334610 -3.268363 1.704356
235 20.3042075109 -3.220331 1.726191
236 171.6747491954 -2.890955 4.812075
237 29.5124908886 -2.000646 3.114964
238 49.0536041563 -3.127657 4.068118
239 11.4465984581 -2.317687 2.208328
240 213.3586766059 -3.060508 -2.153423
241 10.2409323253 -1.466715 2.616237
242 12.5477191927 -2.594200 1.967495
243 5.0722156896 -1.309468 1.960154
244 37.4390712074 1.290925 2.035492
245 11.2983064645 -2.124965 2.608983
246 17.8012040558 0.490418 2.245026
247 10.2083281998 -0.322137 2.038158
248 72.0314805749 -3.633144 0.346874
249 24.0551421507 -3.213491 1.754615
250 7.4047962075 -2.154291 1.983077
251 11.1413991438 -2.317687 1.696992
252 28.7365930714 -0.590976 1.678840
253 29.5435590628 -2.275359 3.651004
254 22.1917377815 -2.714272 1.632353
255 37.6759646955 -0.398484 0.798464
