evaluations raw_y x0 x1
1 338.6100842604 -3.020960 -3.401754
2 163.6482264135 1.865613 -1.481841
3 3.5772950566 2.208808 2.300388
4 383.6240052489 -1.770363 -3.916523
5 468.0912030112 -1.877714 -4.747511
6 254.7289019771 3.436182 -0.744545
7 92.1482429618 -3.727470 4.426237
8 14.4714902924 0.162480 2.035492
9 58.8072200869 -0.692538 0.087569
10 32.6315400846 -1.745345 3.238016
11 68.9665286958 0.387367 4.645412
12 77.6881947846 -4.888285 1.462332
13 224.7543789169 3.749309 1.885614
14 700.5714320731 4.384850 -2.803400
15 132.5743813906 -1.396556 -0.749755
16 80.3929245053 -1.855421 0.145725
17 21.9610130707 2.116641 2.521698
18 136.6840958706 -4.603658 -0.198909
19 550.0430266987 4.320717 -1.413302
20 29.7412402055 -0.322137 1.626149
21 294.3302278735 1.548823 -3.043184
22 32.1487120565 -1.092127 2.011794
23 373.6009513776 1.565072 -4.072587
24 127.3854892382 -3.197359 -0.423757
25 138.7853874181 -1.231804 -0.829728
26 118.5593766844 1.831333 -0.707699
27 146.6213692701 -3.725367 -0.726794
28 222.2189231118 -1.922786 -1.910611
29 62.4931023145 -4.676003 1.999975
30 30.3947773190 -0.339588 2.245026
31 39.0616280613 0.841485 1.403595
32 42.2988012554 -1.331564 1.379455
33 132.3954492427 -0.084990 -0.782877
34 772.7314748018 4.345628 -4.139357
35 295.7817955391 -1.017968 -2.988737
36 110.4976658892 -1.354644 -0.571762
37 57.1759232552 -2.835316 0.800653
38 857.5831566865 4.480749 -4.090595
39 170.7252890560 1.325958 -1.806878
40 494.6557779228 4.372844 4.372844
41 484.1680836300 4.471548 2.300388
42 29.3254940770 -1.839255 2.035492
43 20.7950614031 2.116641 2.978139
44 124.1369494663 -0.322137 -0.708847
45 108.5876368740 -0.339588 -0.571136
46 22.1476586651 -1.479560 2.011794
47 187.5385734854 -1.745345 -1.756134
48 62.5149545340 -3.201795 1.403595
49 8.9842776459 1.222383 2.266069
50 217.0257066248 1.082342 -2.162531
51 544.5374570496 4.480996 0.087569
52 5.2356769397 0.395046 1.999975
53 90.5072323509 -0.321772 4.645412
54 126.5777402284 -1.846645 -0.723035
55 81.1914436396 -2.831356 0.145725
56 125.3693372850 -3.727470 -0.583070
57 79.9187071158 -4.839351 1.463634
58 140.6775279187 -3.897050 -0.728457
59 33.1608550424 0.901320 2.968063
60 100.0730003727 -3.426776 4.446985
61 126.9445518024 -0.032373 -0.749755
62 513.3942579080 4.397892 -0.198909
63 33.3711383284 -0.321152 1.563140
64 112.5970768477 1.866532 -0.479268
65 22.0747906480 -0.799849 1.918996
66 188.4914786813 -1.752404 -1.806878
67 44.3182117015 -1.922786 1.728618
68 34.2785562380 -0.508627 1.885614
69 303.4532131183 3.529663 -1.082441
70 56.5591714026 0.014824 0.978408
71 54.2099250275 1.601555 1.005631
72 53.8865568693 0.989520 0.799123
73 49.1727520065 1.565072 0.463706
74 429.1694675328 3.131659 -3.916523
75 454.3414343669 1.561143 -4.747511
76 106.7522714661 -2.978767 -0.174999
77 173.0169878397 -1.005956 -1.413302
78 43.2379987127 -0.307575 1.098300
79 54.7613024664 0.028613 0.430322
80 400.0697254671 -4.073072 -4.090595
81 79.8421502989 2.208808 -0.171757
82 96.5706822525 0.395046 -0.483102
83 32.4402548019 -1.888809 1.646619
84 58.7603127748 0.162480 0.089253
85 31.6710206442 0.840993 2.978139
86 27.9204619029 -1.688190 1.918996
87 28.0109763448 -0.306238 2.011794
88 5.3891835772 1.324062 1.626149
89 463.8495107635 -0.339588 -4.714216
90 68.8403934388 -1.745345 4.449946
91 22.4573471399 0.901320 1.987052
92 5.3407246483 1.327949 1.626396
93 119.0911929212 2.727272 -0.483794
94 80.2520011802 -4.680399 1.401213
95 81.8149036898 -1.855811 0.157685
96 29.7176864157 0.184576 1.846237
97 117.0092827350 3.282536 0.463706
98 207.8606828956 -0.837530 -2.100438
99 86.6535189015 -4.275210 1.005631
100 64.4180873255 0.028613 0.061676
101 271.5594612698 4.021635 2.989204
102 62.1210671810 -2.835316 0.462714
103 30.7594341273 -0.326302 2.244984
104 44.1078012161 0.387367 3.715206
105 15.4014299248 0.055858 2.000097
106 137.2424900454 -4.839351 -0.417344
107 346.9045223056 4.134112 0.145725
108 98.4033873243 3.037423 4.426237
109 236.1927298598 -3.426776 -1.883577
110 97.7554839264 1.010616 -0.174999
111 26.5873350116 2.173795 1.789327
112 116.7395008890 -1.741767 -0.707699
113 134.1432505435 -0.278197 -0.749755
114 81.7009822106 0.198171 -0.198909
115 24.0314708475 1.747136 1.596561
116 59.1094108137 -1.005956 3.912015
117 78.5017089062 -4.732764 2.127728
118 379.4485126346 1.614818 -3.916523
119 367.7525288214 0.463464 -4.090595
120 40.9296344936 0.492373 0.492373
121 53.5309921675 2.208808 4.448022
122 47.2048553320 0.190457 0.968732
123 26.4977791110 0.964102 1.626396
124 83.4881386256 0.151547 -0.199899
125 45.9853836042 1.222383 3.659333
126 84.9979108145 0.162480 -0.175127
127 54.3137305760 0.055858 3.720259
128 34.7526805949 2.116641 1.455238
129 14.5493654343 -0.799849 2.258003
130 383.8641043462 -1.479560 -3.917216
131 385.1305578987 0.901320 -3.911798
132 35.4289205015 -1.912881 2.042365
133 41.8134383129 2.173795 0.467083
134 57.2384077796 -2.407712 1.846237
135 55.6122689822 -3.426896 2.245026
136 55.7944165753 -3.083975 2.131032
137 14.5286780326 1.551706 2.264851
138 51.7413765380 0.023957 0.492384
139 95.7116823843 -4.866993 0.399804
140 118.4620564324 -0.104267 -0.699006
141 389.7035824493 -0.307575 -3.917227
142 21.0768755028 0.493270 1.114943
143 42.5908076684 0.536983 0.463706
144 12.7182860585 0.383579 2.052666
145 70.5289338225 1.601555 0.145879
146 36.5575078011 0.757260 3.113027
147 60.3756645192 1.813029 0.978408
148 53.0964254021 -2.835316 3.332404
149 84.3182718461 3.046521 3.912015
150 29.5044729782 0.133618 2.127728
151 62.9971192326 -4.839351 1.345512
152 28.3875776546 -1.855421 2.572862
153 94.2447878999 0.198171 4.994320
154 774.0805321746 4.900329 4.426237
155 38.6638456346 1.010616 2.412501
156 326.3083189101 3.986136 -0.685645
157 155.2835610750 2.963225 -0.707699
158 114.7267335124 0.557537 -0.749755
159 383.2952090612 1.865581 -4.090595
160 12.9965377531 2.639364 2.639364
161 39.1685278882 1.009205 2.419391
162 40.7764079109 -2.290743 2.273289
163 10.6974092262 0.546941 1.626396
164 65.4332117076 1.324062 4.687447
165 15.5237919487 1.222383 1.342547
166 147.2632767630 0.383579 -1.473667
167 412.5456799759 2.639364 -4.298911
168 83.2204345178 -0.761094 -0.203948
169 8.8131457874 0.536889 2.264851
170 19.7575207271 -0.799849 1.339269
171 24.0602659870 -1.427679 2.000097
172 35.8750179209 2.554852 0.827119
173 21.8072128184 0.524685 1.114943
174 44.2466832188 -1.479560 3.505897
175 25.9503002363 0.901320 1.632600
176 54.6223826384 -3.495464 1.596561
177 14.4342427991 0.687075 2.266022
178 27.1094258747 1.217253 2.143198
179 32.3847351110 1.785786 2.977848
180 171.4306035695 0.184576 -1.576881
181 37.6571204924 -0.339588 2.983786
182 58.9437390914 -4.845902 2.244984
183 15.5667789454 0.054246 2.001522
184 55.7029702620 0.538894 0.643361
185 33.8294132242 1.641557 2.412501
186 43.6269679492 -1.981446 2.953110
187 43.6576565517 0.492373 0.767142
188 32.9391340532 0.630580 1.486067
189 42.9799534620 -0.320153 1.098300
190 45.7472767120 1.082342 3.332404
191 49.1463364953 0.140985 1.005631
192 29.2684629178 0.014824 2.989204
193 238.2118191654 3.727654 3.912015
194 32.6378383967 0.080325 2.163847
195 20.6927047982 0.493819 2.400545
196 774.4458977830 4.894141 4.426237
197 269.6277878593 3.912471 0.972069
198 47.7584417264 2.328239 4.174257
199 36.4726443765 1.629117 2.146151
200 90.5405943979 -0.331377 -0.331377
201 18.5401264972 1.078703 2.300388
202 27.3442800583 -0.224549 1.999975
203 26.0704801244 1.327949 1.266196
204 6.2752727383 1.324062 2.032734
205 8.6848593116 0.532240 2.264851
206 44.4401254411 -3.756591 2.266069
207 74.9981000796 -3.644538 3.526333
208 69.3349566449 2.639364 4.375534
209 43.4772321003 0.125349 1.038074
210 57.6601500276 0.162480 4.434328
211 28.5368655384 -1.365283 2.011022
212 62.9782716973 0.055858 4.436053
213 37.0245170293 1.801063 1.743738
