evaluations raw_y x0 x1
1 92.0384971411 -3.020960 -3.401754
2 67.9527972705 1.865613 -1.481841
3 29.7873092713 2.208808 2.300388
4 95.9355927661 -1.770363 -3.916523
5 104.3528234197 -1.877714 -4.747511
6 59.0092634516 3.436182 -0.744545
7 14.4650970469 -3.727470 4.426237
8 34.4826012256 0.162480 2.035492
9 54.8168460371 -0.692538 0.087569
10 24.3651891949 -1.745345 3.238016
11 8.1585149836 0.387367 4.645412
12 45.2649612145 -4.888285 1.462332
13 32.3945472907 3.749309 1.885614
14 78.6491509597 4.384850 -2.803400
15 63.8941020806 -1.396556 -0.749755
16 55.3981750566 -1.855421 0.145725
17 27.6663780491 2.116641 2.521698
18 61.5927516505 -4.603658 -0.198909
19 64.8122997475 4.320717 -1.413302
20 39.0606445275 -0.322137 1.626149
21 83.8830187072 1.548823 -3.043184
22 35.9741870963 -1.092127 2.011794
23 94.1608013355 1.565072 -4.072587
24 62.4349295290 -3.197359 -0.423757
25 64.5290881448 -1.231804 -0.829728
26 60.2456533484 1.831333 -0.707699
27 65.9933034217 -3.725367 -0.726794
28 76.0288954514 -1.922786 -1.910611
29 39.6762528514 -4.676003 1.999975
30 32.8893292776 -0.339588 2.245026
31 40.1225666296 0.841485 1.403595
32 42.5370124215 -1.331564 1.379455
33 62.9137644443 -0.084990 -0.782877
34 92.0479382346 4.345628 -4.139357
35 85.9053407392 -1.017968 -2.988737
36 62.0722675816 -1.354644 -0.571762
37 49.8287895897 -2.835316 0.800653
38 91.4251962819 4.480749 -4.090595
39 71.7428212915 1.325958 -1.806878
40 6.8987199690 4.372844 4.372844
41 13.1584776171 -1.886914 4.372844
42 13.4180007734 -4.872119 4.645412
43 19.1745872147 -3.727470 3.955288
44 55.2995864123 -1.745345 0.144576
45 52.0013980796 2.116641 0.088196
46 36.0334393060 -4.037322 2.300388
47 61.4911645876 3.749309 -1.024047
48 29.1179952206 3.431746 2.245026
49 25.8939797357 3.678612 2.542741
50 64.8998805123 1.953936 -1.185382
51 40.6159743878 -1.877467 1.626149
52 34.1510860507 0.849164 1.999975
53 42.7090320719 -1.744980 1.403595
54 59.8876763520 -3.165782 -0.172189
55 41.4648441325 -1.088168 1.462332
56 57.0726972669 -2.835316 0.076262
57 42.4750586343 -1.282630 1.380757
58 63.1020758461 -0.256673 -0.784540
59 6.6202897893 4.218091 4.416162
60 49.3206134048 -2.534622 0.821401
61 56.7965788489 0.192515 -0.198909
62 59.1395096211 1.578114 -0.571762
63 24.9942931846 -1.744360 3.175007
64 53.0786685805 -1.820222 0.374155
65 12.4986193863 1.801722 4.069966
66 58.7268029896 4.570481 -0.829728
67 8.2778858389 4.320717 4.240140
68 61.6306199904 0.637317 -0.726794
69 45.7055752908 2.628460 0.666596
70 34.2823227156 4.752067 1.596561
71 38.0144477257 1.538607 1.544695
72 29.2681708513 -2.612721 2.834455
73 43.6670978791 1.548823 0.978408
74 82.8963567138 1.991016 -2.988737
75 92.6210445372 3.284901 -4.090595
76 46.0192485706 0.989520 0.799123
77 96.6792334440 -0.285668 -4.139357
78 46.5016685568 3.861268 0.463706
79 47.9677963831 1.614818 0.541739
80 100.9139666498 1.561143 -4.747511
81 42.7429692794 4.218091 0.803894
82 46.9239460946 4.372844 0.370321
83 25.3515505273 -2.306317 3.195477
84 36.8678910184 4.320717 1.381139
85 10.5515241623 3.748817 4.069966
86 8.5638306861 2.173796 4.426237
87 25.2176517398 -2.597807 3.238016
88 21.6737153303 1.576218 3.175007
89 98.4635433275 3.678612 -4.714216
90 44.6397419313 2.116641 0.824362
91 9.6512596172 3.431746 4.191699
92 21.6673617486 1.580105 3.175253
93 52.2631877905 -0.959481 0.369629
94 46.4845067125 1.148472 0.736702
95 46.3824555739 3.860878 0.475667
96 10.1483346821 4.342813 4.050885
97 32.9281234218 1.953936 2.011794
98 73.1140570417 -0.837530 -1.727653
99 34.5950186381 4.143489 1.626149
100 40.6228914762 0.841485 1.353562
101 20.1118693964 2.576469 3.231166
102 36.1746120092 -1.282630 2.010802
103 25.8811132602 3.691897 2.542699
104 7.7648854086 1.548823 4.568629
105 25.5124047988 1.154613 2.833298
106 25.2526167958 0.989520 2.875786
107 50.8030561695 -0.440119 0.463706
108 46.3534621356 3.229153 0.541739
109 17.0703225900 -2.534622 4.046430
110 45.9111314189 1.082342 0.800653
111 17.9520069031 1.589889 3.545810
112 51.9704646180 1.572290 0.145725
113 54.3928361490 2.596257 -0.198909
114 61.2659352518 2.031349 -0.829728
115 29.5697548106 3.289057 2.214119
116 32.9966517109 0.637317 2.136603
117 40.9327638806 4.010922 1.005631
118 93.4890961769 2.416849 -4.090595
119 94.7602480434 1.633318 -4.139357
120 49.5839014954 0.492373 0.492373
121 49.3142979345 4.218091 0.146761
122 34.5161424634 4.319122 1.616474
123 7.6610377719 1.652671 4.568629
124 46.4099830934 3.182529 0.540749
125 28.2341293654 4.320717 2.244515
126 47.9037657733 2.173796 0.492244
127 28.5138408310 3.431746 2.305441
128 40.6848331399 4.342813 0.997235
129 8.9304412196 3.748817 4.232074
130 98.9351223942 -2.534622 -4.140050
131 94.7564238503 1.589889 -4.134631
132 17.1979373049 -2.967943 4.077001
133 28.4558122622 1.580105 2.496408
134 25.6059633966 -2.356030 3.175007
135 21.0476753886 1.572169 3.238016
136 22.5450704676 -0.246848 3.270178
137 7.9607376930 4.650041 4.238922
138 33.5351196953 0.844508 2.062037
139 51.5987084150 3.983280 -0.058199
140 58.2912150178 4.498587 -0.778980
141 93.1115471406 3.289057 -4.140060
142 21.4397719340 2.117539 3.144269
143 31.6290753168 4.514781 1.885614
144 6.3832740760 4.361377 4.425535
145 28.8077197599 0.637317 2.555496
146 22.4497258098 2.924582 2.962569
147 37.5160663263 1.222442 1.626149
148 10.2701946756 -1.282630 4.601244
149 36.2837513484 3.269304 1.544695
150 38.0433091245 2.920742 1.403595
151 20.9609207085 4.010922 3.002816
152 24.9143947949 1.082342 2.900326
153 24.0621547051 3.229153 2.770869
154 46.6191828219 3.743754 0.463706
155 27.0457644520 0.492373 2.746186
156 11.3842715077 3.286145 4.032958
157 53.1909647990 3.798129 -0.198909
158 59.8626512405 3.434633 -0.829728
159 92.3992903683 3.506655 -4.090595
160 25.9669969330 2.639364 2.639364
161 24.8468996780 1.080931 2.907217
162 10.9892923690 1.940853 4.206986
163 7.9317475737 3.339816 4.372844
164 36.6992832760 1.652671 1.664805
165 34.1181186637 4.650041 1.623184
166 56.3855740169 0.387367 -0.177294
167 93.6683909657 4.320717 -4.298911
168 37.2934040338 2.310039 1.539656
169 10.0399885960 2.639270 4.232074
170 8.7507600132 3.431746 4.281749
171 16.9738887994 -2.482741 4.050885
172 24.8387062142 2.397605 2.776369
173 10.9594924857 3.710924 4.032958
174 12.3024721367 -2.534622 4.523215
175 14.1774671865 -2.967943 4.379048
176 15.7493158914 3.792580 3.545810
177 8.4965120771 4.114733 4.238875
178 9.1945723786 4.644911 4.116052
179 10.6039548490 -1.613486 4.600953
180 62.5436283779 1.580105 -0.912373
181 7.3548747090 1.576218 4.606891
182 21.2373702149 4.136938 2.962569
183 10.1357000687 4.341202 4.052310
184 24.1685361520 2.641275 2.819019
185 22.9555657094 3.041171 2.900326
186 14.3927152885 2.893790 3.771349
187 25.6255355381 3.678612 2.569585
188 40.6316515370 3.819682 1.054867
189 24.7919507477 2.746186 2.746186
190 26.2246987230 3.558321 2.521698
191 26.6263780443 2.818658 2.555496
192 19.4235174902 3.289057 3.228743
193 35.0493372750 1.094519 1.885614
194 19.4686147772 2.400639 3.313075
195 3.7874754721 4.134652 4.707787
196 37.0036803719 3.960371 1.403595
197 23.0055466579 4.675922 2.731853
198 27.3253769527 3.669170 2.400545
199 30.7824101910 3.366232 2.085136
200 58.6451505531 -0.331377 -0.331377
201 4.3674451154 3.554682 4.707787
202 8.0096833811 2.734968 4.425535
203 8.7605352023 4.218091 4.202137
204 8.2659826597 4.372844 4.236117
205 4.4325207525 4.498572 4.606891
206 5.3824576127 3.931251 4.568629
207 12.9898347238 4.043304 3.796686
208 58.6409195506 0.387367 -0.402829
209 27.0165877706 3.653534 2.432988
210 54.3256171173 4.114733 -0.344035
211 10.1636401925 -1.168354 4.600471
212 37.4341517330 3.431746 1.413410
213 26.8577235252 4.847868 2.329441
214 9.7217807987 4.117702 4.116052
215 25.4418141887 4.341202 2.521698
216 9.8197411876 4.671407 4.050885
217 6.2613831010 3.294839 4.544378
218 6.8042494699 2.186220 4.600953
219 12.0548828671 2.615533 4.032958
220 17.0124689781 -2.534622 4.052215
221 30.4923139048 -2.967943 2.747563
222 9.7554924223 4.670351 4.057416
223 30.8718598409 3.384902 2.074324
224 18.1186675192 3.289057 3.359228
225 10.7218841477 3.700320 4.057780
226 1.6219225196 4.136938 4.924114
227 19.9574142451 3.290052 3.175253
228 2.7911218493 4.072660 4.813622
229 14.8697810902 1.470953 3.865927
230 12.0310773525 4.114576 3.885435
231 16.2892400117 -0.020171 3.873093
232 13.7426451680 3.409428 3.784793
233 14.1638165089 2.639364 3.819682
234 15.2361834969 2.155326 3.760849
235 11.6189585966 -0.426332 4.380737
236 17.5707720319 0.426501 3.700273
237 16.8182347476 2.756086 3.542568
238 17.4622198238 3.109708 3.442807
239 20.2003560382 2.781670 3.201797
240 31.9882639380 -0.331377 2.334311
241 1.9084613886 3.850399 4.924114
242 4.1408685909 2.722914 4.813622
243 13.0245581491 4.134652 3.784079
244 4.1818065158 4.749286 4.606891
245 4.9226097558 4.391099 4.568629
246 6.9188129789 2.637409 4.544378
247 7.7821654358 4.361377 4.285646
248 28.4575640868 1.683970 2.485847
249 13.4515688665 3.416268 3.813216
250 6.9097912402 4.361772 4.372844
251 5.3861876075 4.650041 4.496377
252 4.4533437875 4.092538 4.645412
253 16.7610495416 3.278170 3.496078
254 8.1580803630 4.453165 4.238875
255 17.5780016841 0.431234 3.699076
256 17.5947447015 2.977102 3.442815
257 11.2074721251 1.471786 4.232074
258 11.0442605896 2.795223 4.116052
259 10.7209685278 3.704875 4.057416
260 10.7797845918 3.711363 4.050885
261 5.7155147683 4.975463 4.430902
262 5.4219811029 3.700320 4.587770
263 10.8195203450 3.850896 4.032958
264 6.8215529933 2.256622 4.592182
265 2.7701211985 3.564027 4.866585
266 20.8142620448 1.232689 3.295305
267 9.6549807200 1.421056 4.392396
268 7.0819082544 3.819682 4.409841
269 10.7956134130 1.016029 4.318836
270 13.1052576482 3.235477 3.865927
271 7.1981522138 3.997603 4.380425
272 7.8897878990 4.381160 4.272905
273 2.7675304369 2.489914 4.974256
274 7.4593538114 4.827807 4.271284
275 16.7627341620 3.809194 3.442807
276 15.2840226971 2.713251 3.700273
277 9.1021028595 4.101759 4.179614
278 9.4545104937 4.669223 4.087627
279 5.8173298612 0.808135 4.837453
280 12.6825900642 3.847037 3.847037
281 9.1382418782 4.098305 4.176345
282 10.1110670705 2.489914 4.239902
283 7.5051126787 3.564027 4.393086
284 2.5708836091 4.292899 4.813622
285 7.0585765495 0.863551 4.707787
286 2.8709235265 4.094623 4.803445
287 17.3996094835 4.092538 3.350785
288 4.9293795925 4.384329 4.568629
289 3.5321371923 3.985977 4.748189
290 3.2675994998 3.700320 4.803208
291 8.3816791786 2.309299 4.430902
292 2.3256810088 4.299784 4.837453
293 5.5567683627 3.999454 4.544378
294 6.8988868577 4.361377 4.373974
295 13.7383308501 4.218091 3.704358
296 6.6139278365 -1.006822 4.939289
297 6.5934781676 2.484697 4.592182
298 2.0572111728 4.372844 4.856995
299 8.2093355814 2.692255 4.409841
300 6.4721618013 3.997603 4.453024
301 17.4112234439 3.808844 3.377993
302 6.4407494768 4.381160 4.417809
303 4.3524577510 4.453165 4.619438
304 2.1779732956 4.660359 4.816167
305 6.5443462321 3.586898 4.486876
306 0.2352971028 4.863795 4.990091
307 8.0195341062 0.820095 4.616037
308 6.5250969955 2.576834 4.589807
309 6.2905387945 3.129203 4.558026
310 10.5280014177 3.595732 4.087627
311 3.1549943325 3.210528 4.863448
312 5.2826149751 -0.126994 4.984438
313 3.2582971604 2.929716 4.881199
314 8.8036277468 3.008014 4.318836
315 5.9281817904 3.907026 4.516479
316 8.5351612950 1.232689 4.523215
317 6.9177763986 3.847037 4.423519
318 8.1827784406 2.487589 4.432963
319 14.1406480297 3.856625 3.700273
320 8.9767701251 3.809194 4.221404
321 7.2228327912 4.863795 4.291337
322 1.5269527197 4.231907 4.924114
323 5.1368045952 4.142861 4.572033
324 13.2925810017 4.660359 3.704706
325 9.4168138251 4.299784 4.128340
326 6.9835025278 3.893273 4.412322
327 0.4985822232 4.758862 4.974256
328 2.8428616931 3.491286 4.866585
329 7.4938740462 4.094623 4.341150
330 2.4722331428 3.210528 4.931724
331 3.8890607829 2.929716 4.818122
332 3.9591879107 3.008731 4.803208
333 2.2730801270 3.985977 4.874094
334 3.5646056387 3.989485 4.744591
335 4.5053988053 4.300224 4.619438
336 6.0816101185 2.464272 4.645412
337 9.9130085258 4.391099 4.069589
338 2.5838130246 4.330468 4.808572
339 10.5944774583 4.989601 3.941592
340 2.5901584159 4.330757 4.807908
341 5.9958105400 3.839398 4.516479
342 7.5407269918 3.129203 4.433007
343 2.1749422893 3.986451 4.883861
344 13.3626097422 4.381160 3.725623
345 0.4546694117 4.782194 4.976314
346 3.2625484978 3.788417 4.794903
347 2.9047276551 3.316420 4.877885
348 5.3358266385 3.742348 4.592182
349 9.4465752482 1.996589 4.355684
350 7.5125536797 3.325827 4.416162
351 8.1723858917 2.592428 4.423519
352 3.5409541272 4.409841 4.704920
353 8.0482537201 4.238907 4.271284
354 4.0097670531 2.910048 4.808019
355 2.4568480622 3.743794 4.879936
356 6.1512360684 1.232689 4.761607
357 4.4018138734 4.004007 4.659418
358 8.2425103738 4.543454 4.221404
359 5.3606064050 4.201260 4.543813
360 7.0703240148 4.428313 4.350136
361 2.1350187958 4.659031 4.820595
362 5.9520954862 4.782194 4.426571
363 0.5892697936 4.668175 4.974256
364 2.7597847330 4.639215 4.760100
365 6.1269417520 4.105169 4.476789
366 5.0106247736 3.986451 4.600292
367 7.2421475073 4.627994 4.312986
368 6.7747834754 3.985977 4.423924
369 2.3465882146 4.095175 4.855824
370 3.2333020316 4.429061 4.733764
371 25.0576952077 3.210528 2.673178
372 6.6636246695 3.115619 4.522076
373 7.9377625190 -1.023481 4.808572
374 4.4246600027 4.458623 4.611672
375 6.4153802286 4.404726 4.417989
376 3.2239627882 3.741583 4.803445
377 4.6329564644 3.733236 4.663381
378 2.1750495415 4.012964 4.881199
379 3.1742510478 3.788417 4.803733
380 6.0656516088 3.700320 4.523403
381 4.4021155674 4.409841 4.618804
382 2.9991878231 4.088419 4.791239
383 3.5776539849 4.393482 4.702886
384 1.4315146358 4.453165 4.911532
385 2.6989033533 4.004007 4.829709
386 3.9996128604 4.546269 4.645412
387 3.9817800720 3.175074 4.784315
388 1.0690190099 4.371174 4.955981
389 4.9612365452 4.600630 4.543813
390 1.3154687543 4.684782 4.899975
391 2.9640908952 4.453513 4.758240
392 4.9592734551 1.232689 4.880804
393 3.5724975756 4.064601 4.736290
394 3.0493265986 4.861628 4.708905
395 3.2727136904 1.996589 4.973070
396 3.3101448946 4.609045 4.708081
397 3.4588881993 4.423519 4.711759
398 3.5351620074 4.714156 4.675068
399 9.5881063615 2.699054 4.271284
400 4.1115081576 4.781474 4.610702
401 1.2613153249 4.863795 4.887489
402 1.1327042561 4.104159 4.976314
