evaluations raw_y x0 x1
1 1079772.6691569854 -3.020960 -3.401754
2 91144.0159250491 1.865613 -1.481841
3 7078.6340739578 2.208808 2.300388
4 811121.3993652558 -1.770363 -3.916523
5 976383.3106186149 -1.877714 -4.747511
6 212.1048955760 3.436182 -0.744545
7 594787.5225264913 -3.727470 4.426237
8 130840.8940436171 0.162480 2.035492
9 313589.4475546812 -0.692538 0.087569
10 323648.3138923751 -1.745345 3.238016
11 79575.7828899336 0.387367 4.645412
12 1091150.2981962659 -4.888285 1.462332
13 13.0470083460 3.749309 1.885614
14 12.8005952615 4.384850 -2.803400
15 525388.6080473666 -1.396556 -0.749755
16 553641.8381435004 -1.855421 0.145725
17 9643.1829468667 2.116641 2.521698
18 1112505.7072921661 -4.603658 -0.198909
19 9.7964759748 4.320717 -1.413302
20 200267.9670589677 -0.322137 1.626149
21 181286.5320208544 1.548823 -3.043184
22 297558.4568066531 -1.092127 2.011794
23 227961.3171758470 1.565072 -4.072587
24 866357.0813111116 -3.197359 -0.423757
25 490016.3884331065 -1.231804 -0.829728
26 64752.0609585920 1.831333 -0.707699
27 1053856.5464254750 -3.725367 -0.726794
28 613920.6178858815 -1.922786 -1.910611
29 1064010.4429464357 -4.676003 1.999975
30 183612.6304294327 -0.339588 2.245026
31 87815.5511234692 0.841485 1.403595
32 333613.5514312045 -1.331564 1.379455
33 287450.9868687192 -0.084990 -0.782877
34 7005.2848310898 4.345628 -4.139357
35 577757.8777859636 -1.017968 -2.988737
36 498528.3494068034 -1.354644 -0.571762
37 609398.7634920330 -2.835316 0.800653
38 3647.4936132657 4.480749 -4.090595
39 151116.9344586639 1.325958 -1.806878
40 10391.8215311614 4.372844 4.372844
41 1196369.9328042783 -4.612859 -1.413302
42 193212.3995170326 1.342124 -2.803400
43 13346.0439449290 3.749309 4.213254
44 5.7200250076 3.436182 1.625000
45 25.5169459380 4.480749 2.245653
46 1403741.1448463951 -4.160162 -4.139357
47 57337.1393587076 2.208808 -1.104021
48 25444.0879508336 1.560637 2.521698
49 32.4422036965 4.686422 2.266695
50 983.7248354008 3.415666 -0.927416
51 836334.6942040653 -4.603411 4.645412
52 19445.0866390964 1.873292 1.403595
53 3851.5841813807 3.436546 -1.481841
54 335882.6387451031 -1.542216 2.038514
55 7413.1917025626 3.419626 -1.806878
56 28839.3582433640 1.548823 2.233719
57 126419.3251564153 0.211413 2.036794
58 361536.9152491422 -1.503247 1.377792
59 470.9212430340 3.282536 1.875539
60 15596.6872105695 1.849518 2.254467
61 20.6257657344 4.189997 2.011794
62 717597.1453617052 -3.007918 0.087569
63 4.9842093994 3.437166 1.561992
64 189178.5275174258 -0.286938 1.854580
65 18400.1892333346 1.884098 1.509380
66 63736.7217495591 1.822678 -0.571762
67 325339.9922136951 -1.396556 1.856146
68 63707.3389596000 1.546899 0.145725
69 336382.3838256965 -1.237963 1.005631
70 163975.8498507885 0.636265 -0.286881
71 201810.3239872876 1.082342 -2.331431
72 74748.4460614907 2.235231 -2.112908
73 401797.4446514791 -1.770363 1.713223
74 137657.8797441708 0.901320 -0.423757
75 3942.5957781022 4.695301 -4.747511
76 99238.9930452843 0.637317 1.833879
77 131811.7720001526 0.161999 1.999975
78 93451.2399275170 0.989520 0.799123
79 388050.6402044019 0.055858 -3.265133
80 209818.3479149122 0.198171 -0.198909
