evaluations raw_y x0 x1
1 1046.2604363666 -3.020960 -3.401754
2 2.5001933980 1.865613 -1.481841
3 388.0398318794 2.208808 2.300388
4 848.6338521956 -1.770363 -3.916523
5 1125.8873291725 -1.877714 -4.747511
6 97.6279859043 3.436182 -0.744545
7 7.7390776295 -3.727470 4.426237
8 67.8420604487 0.162480 2.035492
9 23.2527749931 -0.692538 0.087569
10 15.6274890288 -1.745345 3.238016
11 360.5847437423 0.387367 4.645412
12 396.5979542356 -4.888285 1.462332
13 581.3301192225 3.749309 1.885614
14 51.7158471840 4.384850 -2.803400
15 145.3298437066 -1.396556 -0.749755
16 91.3900225595 -1.855421 0.145725
17 388.0398318794 2.116641 2.521698
18 589.9549942257 -4.603658 -0.198909
19 127.4783807147 4.320717 -1.413302
20 19.5990844099 -0.322137 1.626149
21 68.7696488247 1.548823 -3.043184
22 0.6009155901 -1.092127 2.011794
23 156.3969912446 1.565072 -4.072587
24 375.1236186389 -3.197359 -0.423757
25 145.3298437066 -1.231804 -0.829728
26 22.1767748511 1.831333 -0.707699
27 549.4621084904 -3.725367 -0.726794
28 411.7214047011 -1.922786 -1.910611
29 242.4390830653 -4.676003 1.999975
30 19.5990844099 -0.339588 2.245026
31 70.4685116487 0.841485 1.403595
32 10.8475539894 -1.331564 1.379455
33 19.5990844099 -0.084990 -0.782877
34 10.0007735919 4.345628 -4.139357
35 360.5847437423 -1.017968 -2.988737
36 145.3298437066 -1.354644 -0.571762
37 164.4101815708 -2.835316 0.800653
38 15.1514824730 4.480749 -4.090595
39 15.6274890288 1.325958 -1.806878
40 1552.1593275177 4.372844 4.372844
41 766.5468004318 4.363643 2.011794
42 48.4313661126 0.178645 -1.481841
43 7.7390776295 -3.727470 4.713119
44 396.5979542356 4.345628 0.144576
45 10.8475539894 -1.331564 1.404222
46 489.9771102473 -0.259626 -4.090595
47 77.7213918635 -1.745345 0.526360
48 33.0981421977 3.431746 -1.806878
49 25.7325877938 0.230406 1.425264
50 287.6189411149 2.457505 1.644322
51 686.4683359848 4.373091 1.626149
52 67.8420604487 -0.684859 -0.707699
53 396.5979542356 4.345992 0.087569
54 195.0405380426 -1.804733 -0.545042
55 40.0649715269 -0.081030 2.035492
56 131.6016324857 1.548823 1.392288
