evaluations raw_y x0 x1
1 3484.0920467344 -3.020960 -3.401754
2 7472.4385215112 1.865613 -1.481841
3 4880.7420395556 2.208808 2.300388
4 937.5774438403 -1.770363 -3.916523
5 1646.1966091781 -1.877714 -4.747511
6 38217.7966446343 3.436182 -0.744545
7 194.1166253247 -3.727470 4.426237
8 370.0512668722 0.162480 2.035492
9 176.4580991623 -0.692538 0.087569
10 1710.6252421602 -1.745345 3.238016
11 1548.7855304774 0.387367 4.645412
12 14087.9077021277 -4.888285 1.462332
13 39325.0348458989 3.749309 1.885614
14 96285.5815426571 4.384850 -2.803400
15 27.2534108885 -1.396556 -0.749755
16 80.0083800919 -1.855421 0.145725
17 3809.2373369543 2.116641 2.521698
18 13061.5632343397 -4.603658 -0.198909
19 83788.7901035992 4.320717 -1.413302
20 605.0184410221 -0.322137 1.626149
21 7148.4342575723 1.548823 -3.043184
22 1144.3471175222 -1.092127 2.011794
23 9156.5497507047 1.565072 -4.072587
24 1336.1465198350 -3.197359 -0.423757
25 27.3824227916 -1.231804 -0.829728
26 5884.8707241056 1.831333 -0.707699
27 4220.0104815811 -3.725367 -0.726794
28 170.5475358177 -1.922786 -1.910611
29 9507.0185877569 -4.676003 1.999975
30 963.3917503157 -0.339588 2.245026
31 68.5400898864 0.841485 1.403595
32 716.5914718255 -1.331564 1.379455
33 12.4889978010 -0.084990 -0.782877
34 102019.7315715863 4.345628 -4.139357
35 263.1477778382 -1.017968 -2.988737
36 52.0092747006 -1.354644 -0.571762
37 107.2020459784 -2.835316 0.800653
38 111353.0712173783 4.480749 -4.090595
39 3730.2209323260 1.325958 -1.806878
40 56283.5145066153 4.372844 4.372844
41 89762.8293647826 4.471548 -0.782877
42 4.6408444478 -1.754197 -0.749755
43 1174.2734570625 -1.231804 2.085136
44 75.0011236708 -1.354644 -0.424906
45 5.3919110225 0.841485 2.012421
46 170.9380924880 -0.596710 0.145725
47 791.2254704959 -2.835316 -1.001086
48 680.3756573600 0.382931 -1.910611
49 7330.0382315967 2.403455 2.033464
50 21.1334591129 0.636265 1.944735
51 104139.1000226265 4.480996 -2.988737
52 816.6509491231 -0.314458 2.035492
53 847.0435970378 -1.354280 1.626149
54 1117.0719628466 -2.195433 3.264735
55 2938.3275007720 0.640225 -3.916523
56 817.5752554655 -0.339588 2.000487
57 730.4162023330 -1.282630 1.380757
58 2615.3284979436 1.944958 2.520035
59 18295.0638157937 2.693683 -0.839804
60 556.5615841386 -0.038893 2.021235
61 1455.0811257001 -1.949050 3.238016
62 100935.0801837410 4.397892 -3.401754
63 43.5405263699 -1.353659 -0.634771
64 1074.8984610199 -3.162161 -0.195326
65 506.7355046442 0.582426 3.561194
66 834.9572122221 -0.171091 2.300388
67 8844.1872614456 1.831333 -2.441189
68 37222.8326549706 3.142202 -3.043184
69 52217.5419577875 3.542204 -3.083006
70 3027.3014845108 -0.671070 4.278503
71 27956.3216167556 2.674484 -4.178169
72 54.0510860774 0.198171 -0.534619
73 25867.9322946278 -4.888285 -2.754510
74 11.9958357898 -1.618395 -0.744545
75 1050.0105718803 -1.189414 1.885614
76 25.7938601604 -0.313578 -0.313578
77 2604.6844584503 -3.302591 -1.413302
78 2209.0401591062 -0.307575 3.888118
79 280.6979268753 -3.291297 1.985478
80 1124.1237890873 -0.259626 -4.090595
81 1703.1785376397 -1.754197 3.241257
82 584.0089237242 0.841485 4.641577
83 1880.2906302641 -3.309197 -0.614301
84 591.2993852127 -0.084990 2.002171
85 1014.4266155547 -0.693030 1.944735
86 43.6902123832 0.255326 -0.313578
87 670.6410753028 -2.820403 -0.829728
88 992.0318059144 -3.022856 -0.634771
89 772.7288205376 -1.354644 1.495628
90 38.6201977751 0.198171 -0.420796
91 4.2582954329 -1.855421 -0.831318
92 43.8612984564 -1.349772 -0.634525
93 51.6070086073 1.248108 4.640886
94 1020.7196087843 -1.030462 1.823193
95 1068.1766143078 -3.162550 -0.183366
96 34.3400591302 -0.062894 -0.972132
97 9645.0894554643 2.581240 2.035492
98 50.7917335066 -2.208787 -0.719403
99 12618.4877460660 -4.878141 2.021235
100 788.5644541372 -0.322137 1.974594
101 3154.5050940768 2.134276 3.189728
102 1126.1532348491 -1.282630 2.034500
103 53.0787686534 -1.341358 -0.571804
104 1797.2182471272 -0.171091 3.650194
105 149.0835332069 -0.223541 0.541739
106 888.6822754051 -1.189414 -4.331706
107 26648.1487712128 3.127697 -0.195326
108 747.9694286665 -1.168520 -4.090595
109 101.5606501495 -3.197359 2.260511
110 66.1292010502 1.270983 3.238016
111 25073.7614220498 -4.670583 -4.127771
112 2472.9362182110 -0.520155 3.888118
113 5.1034284891 -0.635897 -1.413302
114 3028.2849390732 -1.439986 4.278503
115 2794.7520804967 1.674934 0.799123
116 6906.0173383186 1.831333 -1.346831
117 10117.9334052751 -4.155377 -1.810134
118 13027.1801706327 -4.415898 -1.481841
119 356.9558671912 0.161999 1.999975
120 28.5818461645 0.492373 0.492373
121 237.5163307577 -1.855421 0.800160
122 467.2357352908 -0.146504 1.616474
123 133.5700606207 -0.000112 -1.413302
124 1209.4884718986 -3.208785 -0.196316
125 120.2329467173 -1.618395 0.031696
126 1864.0654334732 -0.084990 3.887989
127 195.8154558351 0.636265 0.092622
128 969.0125116224 -0.313578 2.291992
129 35.8414066916 -1.231804 -0.752610
130 628.6620868693 0.492373 -1.482535
131 119.0253728213 -0.062894 -1.477116
132 42.5477853483 0.059052 0.522943
133 1238.5747813594 -1.353659 2.235221
134 53.7444149953 -2.253386 -0.634525
135 4629.1386535893 1.674814 -0.719403
136 778.7993631703 -2.654477 3.965452
137 34.0514693675 -1.289071 -0.745762
138 590.8109405164 -0.043549 2.083297
139 351.1420181877 -0.198734 1.236558
140 5199.3091070224 1.759438 -0.656950
141 64.5737825442 -0.223541 -1.482545
142 20.8315936098 -3.196462 2.883082
143 374.2404873507 -1.612260 -2.988737
144 5.7810355905 -1.765664 -0.697063
145 254.1939398748 0.162480 -1.482254
146 170.9042501981 -2.741819 0.194483
147 128.4438237924 -2.429525 1.626149
148 997.1951909543 -1.331564 -4.449682
149 529.3998972958 -0.383692 1.380757
150 745.3963643771 -1.145869 -4.090595
151 0.4183378323 -0.171091 -0.652783
152 285.8610168948 -1.189414 0.334147
153 1138.0522906269 -3.162161 -0.290682
154 3603.0117574735 -1.176651 4.645412
155 1409.0585404468 -0.307575 -4.565515
156 10.7211320304 -2.475090 0.424713
