evaluations raw_y x0 x1
1 1788.5277491287 -3.020960 -3.401754
2 820.7506611645 1.865613 -1.481841
3 1228.2576610572 2.208808 2.300388
4 1849.4353046231 -1.770363 -3.916523
5 3642.7720146562 -1.877714 -4.747511
6 1732.7597296539 3.436182 -0.744545
7 142084.0675187015 -3.727470 4.426237
8 96.3145268227 0.162480 2.035492
9 109.7002861012 -0.692538 0.087569
10 19895.3599551466 -1.745345 3.238016
11 5025.4940449968 0.387367 4.645412
12 76371.3659310951 -4.888285 1.462332
13 1195.9961322214 3.749309 1.885614
14 40019.2954416122 4.384850 -2.803400
15 416.2603876457 -1.396556 -0.749755
16 2034.4551427468 -1.855421 0.145725
17 1136.3248829292 2.116641 2.521698
18 28465.0769992618 -4.603658 -0.198909
19 11805.8809038788 4.320717 -1.413302
20 359.9920836043 -0.322137 1.626149
21 6380.6723999053 1.548823 -3.043184
22 3436.8844142447 -1.092127 2.011794
23 17053.9421950356 1.565072 -4.072587
24 7348.7663853537 -3.197359 -0.423757
25 275.6092811347 -1.231804 -0.829728
26 35.1008479187 1.831333 -0.707699
27 10264.6363236276 -3.725367 -0.726794
28 674.5697141885 -1.922786 -1.910611
29 85551.2355857666 -4.676003 1.999975
30 1040.3963556588 -0.339588 2.245026
31 200.1662445143 0.841485 1.403595
32 2717.5941358740 -1.331564 1.379455
33 2.7626647657 -0.084990 -0.782877
34 89237.5003387600 4.345628 -4.139357
35 894.5119390340 -1.017968 -2.988737
36 429.2095701370 -1.354644 -0.571762
37 11291.7560091840 -2.835316 0.800653
38 92913.7250949764 4.480749 -4.090595
39 802.4204838767 1.325958 -1.806878
40 4386.1059964080 4.372844 4.372844
41 10036.5600633736 -3.736671 -0.782877
42 102.4906769685 2.132807 -0.707699
43 1952.7000182367 0.162480 3.517746
44 60.0553784367 -0.692538 -0.745693
45 49.1909289933 0.841485 2.301015
46 2213.7441250886 -2.418151 -0.829728
47 8135.3702745065 -0.322137 4.098551
48 4946.5643338010 -3.025395 -0.749755
49 1403.5230521372 2.403455 2.322058
50 21.4429500352 1.538607 4.289759
51 5543.1803102978 -3.727223 -1.806878
52 178.3282175148 -1.010289 -1.481841
53 1023.7077531236 -0.692174 -2.988737
54 3958.5928379184 -2.305510 0.172445
55 509.3058772126 1.542567 2.521698
56 1778.2816089202 3.749309 2.289081
57 920.0144956395 -0.290654 2.246328
58 3405.1156862106 -2.049396 -4.749174
59 184.6448791920 0.989520 2.025417
60 1041.1219198060 4.050004 1.906363
61 183.7846696748 1.636481 0.145725
62 178.2143038398 4.358669 1.379455
63 60.6867367380 -0.691554 -0.808702
64 1114.0339497790 3.471380 -0.516114
65 1768.0151425425 -2.005915 -0.313578
66 74169.6764338918 -2.430255 4.645412
67 646.2200865491 1.548823 1.737714
68 420.1815973240 -1.294757 -0.423757
69 713.0988852338 0.637317 -2.142520
70 629.4716175549 -0.018575 -2.394818
71 163.9853106095 -0.339641 -1.798696
72 6371.9572403615 -1.273333 2.404427
73 753.2945127919 -1.745345 -0.880992
74 19.9131161005 0.198171 -0.198909
75 1018.3052063529 -2.282907 -2.803400
76 7.9311733079 0.055858 -0.241240
77 1440.4879393098 2.727589 1.999975
78 11775.2996454973 -0.327186 4.526401
79 38107.0316233623 -3.951620 1.280307
80 2466.3183379522 0.636265 4.426237
81 253.3214628105 -0.084990 1.909604
82 2.8518548242 0.055858 -0.519948
83 2224.0272545545 -2.400915 -0.788232
84 1917.3394918993 1.538607 -2.140836
85 5.0958229954 0.989028 -0.707699
86 977.6544386527 -0.282487 2.301015
87 157.2125005893 -0.995375 -0.745693
88 1227.8305933413 -2.007811 -0.808702
89 0.1785257891 0.162480 1.313602
90 1045.0003042580 -0.339641 2.247987
91 4286.9490898185 4.358669 4.241318
92 59.8691072841 -0.687666 -0.808455
93 3875.7324252016 4.332121 -0.520640
94 1024.7359189078 -0.859016 -3.051158
95 937.6637653101 -0.291044 2.258288
96 1.6729743263 1.560703 4.100504
97 43.0861622700 1.801722 -0.749755
98 2110.6195861795 -3.147379 -2.711879
99 28.5797694361 -0.529325 -0.571762
100 2012.8819237531 1.542567 -2.168413
101 280.9301513701 0.972820 1.302591
102 15.1468096834 1.548823 -0.750747
103 0.0672409965 0.175765 1.313561
104 8592.3103363784 -1.745345 2.059504
105 102.7199554254 0.013738 1.755585
106 1961.8408581540 -1.017968 1.591253
107 1258.2958604924 -0.418045 2.246328
108 10422.4630200965 2.461888 -2.803400
109 500.2760636793 -0.339588 -2.383757
110 35188.0095948993 -3.389174 1.906363
111 159.2755896002 -0.764310 0.149538
112 70535.4301088029 -4.437857 1.885614
113 33329.7435800199 -3.249335 1.999975
114 8606.7497239993 -3.551900 -0.744545
115 7633.1769764878 4.089775 -1.211475
116 7444.8742276236 0.636265 -3.872799
117 1188.6801739793 -1.700868 -0.177294
118 1771.8621396419 2.864471 2.404427
119 364.2776938966 1.337091 4.526401
120 95.2292240444 0.492373 0.492373
121 77.8987991877 0.175765 2.001012
122 565.7242407292 -0.163955 -2.393433
123 137.6949871082 1.864504 4.100504
124 1071.4366383940 4.003380 1.905373
125 149.3512201424 0.055858 1.969544
126 213.6541364851 0.989028 1.885486
127 628.2383004242 1.548823 2.030470
128 146.2710078349 0.198171 2.237932
129 6.8848567625 1.538607 -0.528014
130 13647.6366137615 -0.529325 4.425544
131 8.8130266311 1.801722 4.430963
132 158.8622543271 -0.962646 -0.541192
133 710.3182528018 -0.687666 1.354165
134 267.5896843292 -1.200731 -0.745693
135 623.0660869275 2.727468 -0.808702
136 13649.3096161390 -4.265101 -1.071259
137 14.1167636785 0.385181 -0.521166
138 447.4731001388 -1.299413 -0.361695
139 143.8972962012 -0.318297 1.182498
140 2053.8122254539 -2.077809 -0.262830
141 15.2868147269 1.636481 4.425533
142 955.7895627945 4.359567 2.002026
143 1.6700905218 0.304417 -0.829728
144 1.4288161965 0.151013 1.366294
145 11766.5784131270 1.337091 -3.822829
146 525.5540581711 2.701132 0.936973
147 2871.1086608243 1.572759 -2.383757
148 1861.3209630806 1.542567 -2.119973
149 2.0450055762 0.411146 -0.880992
150 53446.6891737534 4.663210 -2.988737
151 200.2175391565 -0.290654 -1.889467
152 41813.4522563887 -2.282907 3.732925
153 144.5347048320 4.050004 0.454267
154 77.2476256896 2.942174 -0.177294
155 13661.3020817483 3.749309 -2.031717
156 1729.5574232175 -2.415491 -1.209952
157 1792.1676666125 -2.226875 -0.744545
158 41.4708367485 1.497043 -0.313578
159 13335.8477227738 -1.917005 2.404427
160 1691.9071602581 2.639364 2.639364
161 137.8818271891 4.048592 0.461157
162 2.7575134828 0.047714 -0.512728
163 641.0516900835 1.602494 1.366294
164 49.3316054100 0.304417 2.146824
165 6087.0733954700 1.560703 -2.991702
166 2122.1147972100 0.411146 -2.940496
167 456.7267225062 -0.084990 2.196111
168 2245.1173881256 -3.242171 -2.808439
169 5.0925329273 0.989426 -0.707699
170 152.0295541576 1.538607 -1.116608
171 4.5711717461 1.688361 4.430963
172 48.0767791375 0.278391 -1.341204
173 5782.9402523921 4.390981 -0.750747
174 354.3971079609 1.636481 3.161092
175 0.0797670544 0.198171 1.372498
176 241.2716027741 2.658900 -0.571762
177 455.2999016570 1.025396 4.100457
178 10.1360193930 1.555573 3.977634
179 2.7899247280 0.054326 -0.521456
180 877.0093523388 -0.692538 -2.872847
181 61.5685478407 -0.691554 -0.515518
182 259.5626602854 -1.024520 -0.177294
183 4.9233579871 1.686750 4.432387
184 144.9846260274 0.991432 2.205071
185 687.8671170732 -1.131316 0.454267
186 30.0748489034 0.090934 -1.250463
187 2268.3995516732 4.358669 -0.189297
188 3299.0115586875 1.222151 -2.730696
189 14683.6014730858 4.010995 -1.889467
190 7678.4823648598 0.015693 4.526401
191 606.6252727200 3.279150 -0.423757
192 207.5481842112 -0.339588 1.308121
193 20793.7295320564 -2.301706 2.521698
194 790.4140789629 1.091944 4.450428
195 36.4734564916 4.293666 1.098300
196 0.7662334079 0.438212 1.885614
197 11647.4966942580 -1.682027 2.558284
198 1162.0438780215 -0.952686 1.246333
199 77418.7199535331 -2.982127 4.010277
200 5.9203458608 -0.331377 -0.331377
201 486.2419501422 1.333453 1.313561
202 154.1372531502 -0.243984 1.372498
203 10.7921428892 0.162480 -0.376761
204 15.7397933041 0.438212 -0.524214
205 12.1029949434 0.335365 1.366294
206 625.9034606733 2.698468 -0.829728
207 1348.9264908769 2.810522 4.393066
208 2.0979335258 0.411146 -0.815996
209 482.8642495985 1.526931 2.554141
210 1.1631677691 0.054326 -0.757202
211 52.2791438298 1.669850 3.976861
212 752.5204010819 1.688361 2.009790
213 1058.7567882663 4.221950 0.051854
214 1.0713869828 0.057295 -0.707699
215 11832.4953769182 -0.331377 4.526402
216 799.2238328953 3.269304 -0.528014
217 506.9034297726 1.502825 1.002057
218 3.1525095722 0.068281 -0.521166
219 13.9647109301 -0.363418 -0.750747
220 28.6004872541 1.636481 -0.331472
221 1210.1670436987 -0.529325 2.026793
222 7.3758036808 1.537552 -0.521483
223 725.3858969568 1.110614 4.439616
224 6.8670350210 1.497043 -0.699540
225 1083.8521391585 2.556799 1.575937
226 14919.4630781301 -0.691554 4.313217
227 106.4882564196 -0.761924 -0.177294
228 559.9298559199 1.673665 0.998134
229 27672.6432883571 -4.205108 0.315536
230 2300.9730618253 -2.418271 -0.773191
231 68.1496318139 0.761795 -1.288027
232 4854.5292492712 0.090997 4.172944
233 364.1702243031 -0.339588 -2.203282
234 259.2740715742 -0.088669 -1.970515
235 1888.7177652409 4.856138 0.283652
236 2634.2326329362 -0.212288 -3.492173
237 1744.5280101526 1.419854 -2.162362
238 180.9483207002 0.739831 0.923121
239 3023.2091319062 -2.231003 -0.049107
240 834.1040786654 3.436182 1.492760
241 165.0762512757 0.754725 1.313561
242 269.8392492500 -0.372760 1.372498
243 1.6341956388 0.162480 1.402685
244 1353.0863569991 2.719106 1.885614
245 1.6040424187 0.138663 -0.707699
246 800.5134180140 2.940220 -0.757202
247 11.7803372803 0.151013 -0.327481
248 1020.1375555046 -1.411705 0.251400
249 60.0460487831 0.768634 -1.259604
250 2.5086741691 0.109337 -0.880992
251 73.2613422003 -0.084990 1.437136
252 0.6172067756 -0.117826 -0.519948
253 451.5580649636 1.531680 2.658549
254 5856.8536088510 0.142091 4.430963
255 415.1427526197 -1.290025 -0.424953
256 242.9630623632 -0.221276 -1.970507
257 3636.6496777766 4.050837 -0.699540
258 1104.3634590952 3.449735 -0.528014
259 29.3193839468 -0.535374 -0.521483
260 9502.7020063861 -0.528885 3.977634
261 164.0632109601 0.765099 1.371661
262 599.4121464097 1.636481 1.146646
263 0.8311533536 -0.121276 -0.571762
264 13.1980196225 1.631106 4.091733
265 447.6943062770 1.309280 1.091967
266 1601.0446252371 3.053789 2.095649
267 7055.3149528371 0.188028 4.687308
268 80567.1135924692 -2.471990 4.762756
269 532.4364817342 2.795003 -0.709453
270 2781.2927395239 -1.887868 0.454267
271 3057.6257412897 -2.455116 -0.439375
272 570.6355449787 1.822638 0.943216
273 396.0207559068 2.484239 4.828254
274 872.5713765042 2.795182 1.338289
275 303.6785094513 0.138791 -1.970515
276 1289.1033309975 3.685018 -0.423757
277 353.4851188962 0.196670 -2.016237
278 770.6871080444 -0.402526 -2.675158
279 2114.4688295984 -1.457323 0.905531
280 3438.4911616242 3.847037 3.847037
281 77.8393926869 2.938720 -0.180563
282 160.0387788962 0.198171 -1.700451
283 3.5662449224 0.162480 -0.934169
